VARIABLENAME	VARIABLELABEL	VALUES
"StartDate"	"Start Date"	""
"EndDate"	"End Date"	""
"Duration"	"Duration (in seconds)"	""
"InformedConsent"	"Do you agree to participate in this study?"	"1 = I was informed about my rights in the course of the survey and now wish to proceed. 2 = I don't want to participate."
"Condition"	"Experimental condition"	"1 = inappropriate sexual relationship 2 = alcohol abuse 3 = control"
"MC_Article_1"	"Article is objective"	"1 = strongly disagree to 7 = strongly agree"
"MC_Article_2"	"Article reports relevant facts and arguments"	"1 = strongly disagree to 7 = strongly agree"
"MC_Article_3"	"Article considers different opinions"	"1 = strongly disagree to 7 = strongly agree"
"MC_Article_4"	"Article does not insult or discriminate"	"1 = strongly disagree to 7 = strongly agree"
"MC_Article_5"	"Article is comprehensible"	"1 = strongly disagree to 7 = strongly agree"
"MC_PercVictim_1"	"Victim is depicted negatively:positively"	"1 = negatively to 7 = positively"
"MC_PercVictim_2"	"Victim is depicted unfavourably:favourably"	"1 = unfavourably to 7 = favourably"
"MC_PercVictim_3"	"Victim is depicted unfairly:fairly"	"1 = unfairly to 7 = fairly"
"MC_PercRelevance_1"	"information about the person - irrelevant:relevant"	"1 = irrelevant to 7 = irrelevant"
"MC_PercRelevance_2"	"information about the person - not valuable:valuable"	"1 = not valuable to 7 = valuable"
"MC_PercRelevance_3"	"information about the person - not insightful:insightful"	"1 = not insightful to 7 = insightful"
"AttrBlame_1"	"Attribution of blame: reflects aspect of behaviour of A/P"	"1 = Airline to 7 = Passenger"
"AttrBlame_2"	"Attribution of blame: caused by something about A/P"	"1 = Airline to 7 = Passenger"
"AttrBlame_3"	"Attribution of blame: because of something the A/P did"	"1 = Airline to 7 = Passenger"
"CorporateRep_1"	"CorpReputation: bad:good"	"1 = bad to 7 = good"
"CorporateRep_2"	"CorpReputation: unfavourable:favourable"	"1 = unfavourable to 7 = favourable"
"CorporateRep_3"	"CorpReputation: unappealing:appealing"	"1 = unappealing to 7 = appealing"
"CorporateRep_4"	"CorpReputation: unpleasant:pleasant"	"1 = unpleasant to 7 = pleasant"
"CorporateRep_5"	"CorpReputation: unlikeable:likeable"	"1 = unlikeable to 7 = likeable"
"CorporateRep_6"	"CorpReputation: undependable:dependable"	"1 = undependable to 7 = dependable"
"CorporateRep_7"	"CorpReputation: incompetent:competent"	"1 = incompetent to 7 = competent"
"CorporateRep_8"	"CorpReputation: of low integrity:of high integrity"	"1 = of low integrity to 7 = of high integrity"
"CorporateRep_9"	"CorpReputation: unresponsive to customers:responsive to customers"	"1 = unresponsive to 7 = responsive to customers"
"CorporateRep_10"	"CorpReputation: not trustworthy:trustworthy"	"1 = not trustworthy to 7 = trustworthy"
"Rep_Newspaper_1"	"NewspaperReputation: bad:good"	"1 = bad to 7 = good"
"Rep_Newspaper_2"	"NewspaperReputation: unfavourable:favourable"	"1 = unfavourable to 7 = favourable"
"Rep_Newspaper_3"	"NewspaperReputation: unappealing:appealing"	"1 = unappealing to 7 = appealing"
"Rep_Newspaper_4"	"NewspaperReputation: unpleasant:pleasant"	"1 = unpleasant to 7 = pleasant"
"Rep_Newspaper_5"	"NewspaperReputation: unlikeable:likeable"	"1 = unlikeable to 7 = likeable"
"Rep_Newspaper_6"	"NewspaperReputation: undependable:dependable"	"1 = undependable to 7 = dependable"
"Rep_Newspaper_7"	"NewspaperReputation: incompetent:competent"	"1 = incompetent to 7 = competent"
"Rep_Newspaper_8"	"NewspaperReputation: of low integrity:of high integrity"	"1 = of low integrity to 7 = of high integrity"
"Rep_Newspaper_9"	"NewspaperReputation: unresponsive to customers:responsive to customers"	"1 = unresponsive to 7 = responsive to customers"
"Rep_Newspaper_10"	"NewspaperReputation: not trustworthy:trustworthy"	"1 = not trustworthy to 7 = trustworthy"
"EmpathyVictim_1"	"I try to imagine what he has gone through."	"1 = strogly disagree to 7 = strongly agree"
"EmpathyVictim_2"	"I can empathize with what he has experienced."	"1 = strogly disagree to 7 = strongly agree"
"EmpathyVictim_3"	"I find myself moved by his experience."	"1 = strogly disagree to 7 = strongly agree"
"Rep_Victim_1"	"VictimReputation: unlikeable:likeable"	"1 = unlikeable to 7 = likeable"
"Rep_Victim_2"	"VictimReputation: unfriendly:friendly"	"1 = unfrienly to 7 = friendly"
"Rep_Victim_3"	"VictimReputation: incompetent:competent"	"1 = incompetent to 7 = competent"
"Rep_Victim_4"	"VictimReputation: immoral:moral"	"1 = immoral to 7 = moral"
"Age"	"age (in years)"	""
"Gender"	"gender"	"1 = male 2 = female 3 = other"
"Education"	"highest degree or level of education"	"1 = Never attended school 2 = Primary Education 3 = Secondary Education (GCSE/O-Levels) 4 = Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar) 5 = Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar) 6 = Undergraduate Degree (BA, BSc etc.) 7 = Post-graduate Degree (MA, MSc etc.) 8 = Doctorate (PhD)"
"Comments"	"is there anything else you would like to say?"	""
