Qualitative Data for Mobile Banking App of Indian Public Sector Banks,,,,,,,,,,,
,,,,,,,,,,,
It saves my time and money which I would have spent on travel to branch. I need not worry for safety of cash as I do all transactions online.,,,,,,,,,,,
Almost all my basic needs fulfilling by this spp in terms of digital and cashless transactions.,,,,,,,,,,,
"I am unable to view my accounts in the account summary section even after reporting to branch several times. I dont understand why still no action has been taken as my accounts are linked to one CIF itself. The bank services are good but without my account being visible,i cannot make use of this app...",,,,,,,,,,,
"the old Bank app was good but now it is mAPP and I often get problems in this app. I dont know why it became worse by this name mAPP. the app is not working properly after this change. Currently the app is not loading login screen, even after a good internet speed. They have not made it better even after 1 year. Still I am getting too many problems in basic commands like login. It is not getting login and if I close the app in the end, next time I get the notification that your session is running",,,,,,,,,,,
Under lock down or curfew period this app is highly useful & very userfriendly for any novice customer.,,,,,,,,,,,
 good for customer security,,,,,,,,,,,
More updation is required,,,,,,,,,,,
"we try the same for PPF account it shows, that it can't retrieve the account and cannot be updated.",,,,,,,,,,,
I did not like the feature mstatement. ,,,,,,,,,,,
it takes time to show entry in account..it should be instant whenever i pay anything from my account. ,,,,,,,,,,,
"Very Good ! Very usefull app for bank transaction.No need to go bank & stand in Que for hours! one can do his all transactions (check balance, mini statement, viewing passbook,open RD/FD account,transfer money to any banks a/c )very easily at home.This is good for senior citizens also.Thanks Bank Anywhere! ",,,,,,,,,,,
here even a password reset does not happen without visiting the bank.,,,,,,,,,,,
After update to version 5.3.33 app has become total network dependency only working when internet speed is more than 5mbps.,,,,,,,,,,,
Registration taking too long and geting invalid message and automatically canceling the registration. We need to start again. It happen to me almost 10 times with accurate detail.,,,,,,,,,,,
I had lodged an official complaint for viewing / dowloading my account statement. But shocked to get a message that the issue is resolved. On the contrary the problem remains unchanged for past four days ! Utterly dissappointed ...,,,,,,,,,,,
i am not able to take screenshots before the update it was k. This was solved but I have a new problem. In Bank no quenue app. It's not available and the office staff not cooperating and not at all polite with customers. Branch manager experience is worst. I hope I widral my all accounts fd. And shif...,,,,,,,,,,,
"Quick Transfer Service is not use when starting use mAPP Lite App face error message ""request time out,after sometime "" pl's swall my issue,immediately. I also send mail and mention my details,so as possible as resolve my problem?This issue face long time!",,,,,,,,,,,
User friendly interface provides easy to access the app. One can do day to day banking activities very easily. It would be wonderful if fingerprint security is added. One star less for not getting fingerprint option.,,,,,,,,,,,
Very reliable app with high security features.Its very safe because designed by the State Bank. faith of Bank.the largest bank of India.I am fully satisfied with the system.I also advise to others in my circle to use this app. Users are safe.Thanks to Bank team for protecting us from loss.I rely upon ...,,,,,,,,,,,
"Fantastic!!.keep it up.?? Other than my previous review I just want to say if you people solve the network proboem, it would me much better to use the app. I must say ""It is a lifeline"" to common people.",,,,,,,,,,,
"I have successfully registered my account, but the problem is I can't login the app, the ask for 1 time registration, as I correctly entered the user name and password but it shows as invalid user, what is the problem with you all",,,,,,,,,,,
"No link found for request for a new debit card issue. it is very difficult to stop FD. Customer care service is not available through this app. Previous rated, and bad grade are not attend. It is very bad ?? app then other banks application.",,,,,,,,,,,
Safe and convenient It saves time and money It is not suitable for illiterates Accessing information round the clock Bill payments becomes easy Rewards is beneficial Urgent payments made possible Image of the banks will be enhanced Usage of the stationaries will be reduced Bank staff may concentrate...,,,,,,,,,,,
"good but best is expected. When we take new loan, it is not getting added to the list of loans. Please add this feature. thanks. Again, the above point is not addressed. Please look into. Thanks.",,,,,,,,,,,
good work but fix deposit against loan overdraft account facility is not available please improve the service good service new ppf ac open but one service is not available fix deposit against overdraft accounts please add the service ? ??????? ?????? please improvement the app worked mAPP light say ...,,,,,,,,,,,
Very good app once you login. Just that the app security adopted in a way not user-friendly. So it becomes difficult to gain access at times. No fingerprint based access.,,,,,,,,,,,
"This application is very good. Easy to access the application,",,,,,,,,,,,
Not only easy but it's highly secured & 100% trustworthy. Any layman can can also handle this app without taking anybody's help.,,,,,,,,,,,
 most of the time transaction gets failed and amount gets debited from account .,,,,,,,,,,,
The color theme to navigation was a notch better with anywhere but mAPP does fine.,,,,,,,,,,,
"i am getting messages that somebody is trying to login using my username, it is making me feel unsafe. ",,,,,,,,,,,
Transaction fails even in case of NetBanking if we do payment via Merchant portals.,,,,,,,,,,,
I am unable to make payment for IRCTC,,,,,,,,,,,
Easy to get into banking details with excellent features. It secured access to the account safe. ,,,,,,,,,,,
Easy and secure. ,,,,,,,,,,,
There are few problems with app like the process is slow and not secured. And every time I have log in both my id and password. ,,,,,,,,,,,
There is something wrong in app.... whenever i want to check my transaction account balance... it gets standstill and tells default account has been selected by itself.... its very annoying... kindly look into it....,,,,,,,,,,,
"very easy to use this app.I have done various transction using this app .I did not find any problem till now.This is very helpful and previous name was appropriate i e. Bank anywhere,it is really money in anywhere.very good and effective app.Now mAPP cash option is very useful .Money from atm without atm card is really unthinkable.",,,,,,,,,,,
Very secured one. ,,,,,,,,,,,
The new feature is awesome.... Account transfer in another branch. I never thought that this could be so much easier and fast. Great app.,,,,,,,,,,,
very nice and helpful excellent Fast and Secure payments app. Highly precious performance It is a must for efficient net banking.. Excellent. Cent percent necessary for banking without going to bank counter.,,,,,,,,,,,
My problem of not getting OTP's continues. I dread when I have to do a funds transfer or purchase with this app. There's absolutely no guarantee that you will get an OTP. This app is more for wasting your time than doing banking!,,,,,,,,,,,
Easy to access this App.,,,,,,,,,,,
I can't operate the app even in fair wifi strength.,,,,,,,,,,,
most reliable application. Sometimes it's because of the server and connectivity issue. Security checks and alerts are best in industry.,,,,,,,,,,,
The app has logged me out and now its telling to register again.,,,,,,,,,,,
Finally installed Bank on my mobile. User friendly and an essential app for making transactions ,,,,,,,,,,,
Now the transaction details coming in passbook are clear and sufficient number of entries are being displayed .,,,,,,,,,,,
Excellent application. Everything is done without any problems. Its an excellent and favourite application for everyone . mAPP Lite Bank app is functioned very smoothly and easy to use . I love this application very much .,,,,,,,,,,,
Quite good and useful app to check balance and do money transfer. Easily accessible and understandable menu for quick use of the various features of the app.,,,,,,,,,,,
easy to control.,,,,,,,,,,,
No imps charges and also no charges for not maintaining minimum balance. Proud of Bank.,,,,,,,,,,,
New facility of mAPP cash is really secure & future ready.,,,,,,,,,,,
"Fine and good but till know i couldn't understand why SI deduction taken from my account even though my account is maintained more than the minimum balance as per the Bank conditions. Number of times I applied but no use, due to this i stopped my RD account and at present I want to quit the FD amount too .",,,,,,,,,,,
Easy to use and intuitive layout makes it easy to use.,,,,,,,,,,,
"I can do everything like recharge, bill payments, money transfer etc. with the help of this app very easily and quickly. Also it's a user friendly app.",,,,,,,,,,,
"When i try to open app it says update available, and once i update app and then go to open app, again its giving popup of updating app but now on google play its showing as updated and there is option to open app clicking on which it takes to app where again its showing update the app alert.. I am unable to use despite updating it.. such a waste of time and efforts..",,,,,,,,,,,
"amazing app...its very user friendly app. UI is ok. login function is good and secure. very happy to use mAPP lite Bank.As a Software quality analyst, I think fingerprint unlocking system might be better for time crunch.",,,,,,,,,,,
I submit all details perfectly...but ever time it says your mobile number is not registered in bank..kindly contact the branch...than I went to bank but no solution I got...my mobile number is registered with bank ..but every time it says your mobile number is not registered with bank,,,,,,,,,,,
"Very informative, useful and customer friendly app. No need to visit bank branch for 99% of times. Thanks a lot.",,,,,,,,,,,
It is very convenient for me to track my financials activity. Good appl to track my accounts balance and transfer the funds. Really very good platform for all my financial services. Very nice appl.,,,,,,,,,,,
After resent update its working bit slower than usual. I,,,,,,,,,,,
"App name is Bank lite and update size is 40MB. I cant raise a dispute, getting error ""cant process now"". ",,,,,,,,,,,
"App is fast, only think missing is the he account information doesn't show interest rates of the accounts. For that you have to login on web.",,,,,,,,,,,
"Very Good App with new experience and very user friendly service and experience, fast and safe, more faster then early. Great service. Easy to use and easy to rate",,,,,,,,,,,
Good application for quick check of all bank queries. Love to use it. Keep it up! mAPP cash is another very nice addition.,,,,,,,,,,,
Its very userfriendly and simple. Excellent. Very often OTP is not receiving in time. 15/03/2020 It has been excellent and I received OTP in time today.,,,,,,,,,,,
of all the net banking services app ...i found mAPP lite Bank as the most convenient and encrypted one...lot of services are there to be offered....sometimes a bit slow...bt overall satisfied,,,,,,,,,,,
"Ultimately easy, secure and reliable. In other words ""The Bank within your wallet"", no need to walk around and pay visit a Bank branch.",,,,,,,,,,,
"Awesome app, Almost features are present in it, works well. No need to go any where else.",,,,,,,,,,,
one touch operation made very easy and secure in second addition of mpassbook view in width wise made easy. All options are easy to understand and operations.Thanks.,,,,,,,,,,,
A very useful easy application,,,,,,,,,,,
Every time asking for the review while exiting the app. After updating the app problem still remains.,,,,,,,,,,,
Very useful and quick banking transactions became possible. Banking online has become more convenient and enjoying with this improved app.,,,,,,,,,,,
Very very excellent. Thanks.This app is very useful and user friendly. Needs to be used without internet also.,,,,,,,,,,,
It is not work in slow network.,,,,,,,,,,,
It's quiet simplest and user friendly one. Howerever let's hope your future services also better. So far I am okay with this application. I seek your help and put my suggestion if it is required. Thanking You.,,,,,,,,,,,
"A very essential application to manage your Bank accounts, Debit cards. It's better now after some good updates.",,,,,,,,,,,
At home page; it stuck and loading continue for long time. ,,,,,,,,,,,
"Never expected this many features with an Indian state bank app. Easy to use, almost all options available like web portal.",,,,,,,,,,,
