version	doi	noresp	month	day	age	q01	q02	q03	q04a	q04b	q04c	q04d	q04e	q04f	q04g	q04h	q04i	q05a	q05b	q05c	q05d	q05e	q05f	q05g	q05h	q05i	q06a	q06b	q06c	q06d	q06e	q06f	q06g	q06h	q07	q08	q08a	q08b	q08c	q08d	q08e	q08f	q08g	q09	q10a	q10b	q11	q12a	q12b	q12d1	q12d2	q12d3	q12d4	q12d5	q12d6	q13a	q13b	q14a	q14b	q15a	q15b	q15c	q15d	q15e	q15f	q16a	q16b	q16c	q16d	q16e	q16f	q17a	q17b	q17c	q17d	q17e	q17f	q18	q21	q22a	q22b	q22c	q22d	f1	f2	f3	f4	f5	d02	d03	d04	d05	d06	d07a	d08	d09	d11	d14	d15	d16	d19	d20	c1	c2	c3	c4	gew	gew_roh	intnr	intsex
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	1	11	29	5	3	3	3	1	1	5	1	3	3	1	1	1	1	1	3	1	1	4	5	3	77	2	2	1	1	2	2	2	2	1	1	1	1	1	5	1	2	1	3	5		4	4	77			1				4	77	4	4	3	2	0	1	0	4	0	2	0	0	0	2	1	1	10	1	0	2	1	2	5	5			4					2	2	1	2	10			12	3	1	5	2	1	2	2			1	0.3923888706911487	0.35905	54	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	2	11	1	2	4	4	1	1	1	5	5	1	5	1	4	88	1	4	4	1	1	1	5	5	2	3	2	1	2	1	1	3	4	1	1	5	88	1	2	1	1	5	77	5		4	4	5				1			1		77	77	5	2	5	7	8	8	1	3	8	1	8	8	5	2	8	2	8	5	2	1	5	5			3	1	88	1	88	1	1	4	2	10			8	1	1	5	2	2	2	2			2	1.8022951086075123	1.69946	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	3	11	6	7	1	1	4	1	1	4	4	1	1	2	1	2	3	3	2	5	4	5	2	2	2	4	4	1	2	4	1	2	4	2	1	4	1	1	5	1	4	1	77	5		3	4	5				1			4	5	3	4	3	5	0	5	6	2	3	5	3	2	6	1	3	9	10	88	6	88	3	1	5	1	4	3	4		1			2	2	1	2	7			8	3	1	5	1	5	2	2			1	0.6187654337661017	0.58346	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	4	10	27	6	2	2	1	1	1	4	4	5	4	4	4	4	2	2	4	4	2	5	4	3	4	4	4	1	3	4	1	3	3	88	1	5	1	1	4	1	4	2	77	1	1	88	4	1				1			4	1	5	4	8	2	2	5	2	88	8	4	3	5	3	7	4	8	9	2	88	3	3	1	1		1	2	1	2		3	3	1	1	1	2	7			8	2	1	5	2	1	2	2			1	1.1445028898645613	1.0792	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	5	11	12	7	3	4	4	1	3	2	2	1	5	4	5	5	2	1	3	5	2	2	4	2	2	4	4	1	3	2	1	3	3	3	1	4	1	1	4	1	5	1	1	1	1	2	4	1				1			4	1	4	4	7	7	2	7	2	1	5	9	77	3	3	77	3	5	10	88	88	3	3	1	1		1	3	4					2	1	1	2	7			11	3	1	5	2	5	2	1	2	2		1.3843797511122125	1.30539	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	6	10	29	5	4	4	1	1	4	2	2	88	1	1	1	5	2	2	88	5	4	5	88	2	2	4	4	1	2	3	1	4	4	4	1	5	1	1	4	1	5	1	3	1	1	2	4	1				1			4	1	5	5	7	0	0	7	6	88	5	2	2	3	6	2	2	10	10	2	2	2	3	1	1		1	2	4					2	1	1	2	1	5	2	15	3	1	1	2	5	2	2			1	0.8429997657091733	0.7949	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	7	11	27	5	1	1	1	1	4	3	4	5	1	3	1	1	1	5	2	5	4	3	5	1	5	2	4	1	2	2	1	1	4	3	3	5	1	3	2	3	3	3	2	1	1	1	4	1	1						4	1	3	5	9	3	3	9	4	5	9	6	1	8	4	8	2	2	9	2	8	4	3	1	1		1	2	1	4		2	3	1	1	1	2	1	1	2	14	3	1	5	2	2	3	1	2	1		1.862203344567899	1.75595	61	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	8	10	23	5	4	4	4	1	1	5	1	88	1	1	5	5	1	1	2	2	1	4	2	2	2	4	4	1	1	2	1	4	3	1	1	3	88	2	77	77	2	1	3	5		3	4	1				1			4	1	5	5	6	4	4	6	2	88	3	6	2	6	2	2	3	8	10	4	88	1	3	3	5	1	1	3	4		1			2	1	1	1	2	3	1	9	1	1	1	2	1	2	2			3	1.2251335002392858	1.15523	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	9	11	27	7	1	1	1	1	1	3	1	1	5	1	2	1	1	2	4	2	1	4	5	5	1	1	2	1	1	4	1	1	3	1	1	3	2	1	2	1	1	2	4	1	2	5	4	1			1				4	2	5	5	8	8	5	4	88	5	9	9	5	4	88	5	2	2	8	3	5	5	3	2	5	1	1	88	2	4		2	3	1	1	1	2	7			12	3	1	5	2	1	4	1	2	2		1.8702314087601475	1.76352	61	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	10	11	27	5	1	1	3	1	4	4	1	2	4	2	5	1	3	3	4	5	1	5	4	2	2	4	4	1	3	2	1	1	4	1	1	4	2	2	4	1	4	1	2	1	1	3	4	1				1			4	5	5	5	6	2	2	77	5	10	8	9	3	2	3	10	3	7	9	3	3	1	3	3	1		1	2	1	2		2	88	1	1	1	1	1	2	2	14	1	1	5	77	2	2	2			1	1.402302377908646	1.32229	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	11	11	16	3	1	1	1	1	4	2	5	5	5	5	2	1	2	5	2	5	4	5	1	2	2	4	4	1	4	4	2	4	4	77	1	5	2	1	4	1	5	1	3	1	4	1	4	4				1			4	5	5	5	5	3	0	8	5	0	4	2	0	4	2	0	4	10	10	2	5	5	3	1	1		4	1	1	2		4	4	1	2	1	1	1	4	3	77	3	2	1	1	5	2	2			1	0.4104811791613947	0.38706	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	12	11	30	5	2	3	1	1	2	4	2	4	2	2	1	1	3	4	2	5	4	5	5	2	1	4	3	1	3	3	1	1	4	1	3	5	3	1	4	1	4	1	3	1	4	3	4	6				1			4	5	5	5	7	2	0	7	3	7	7	0	0	5	5	8	4	9	10	3	5	2	3	3	1		4	2	2	4		3	3	2	3	4	2	1	6	4	15	1	1	1	2	1	2	2			1	0.6280130849888769	0.59218	377	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	13	10	25	2	3	4	1	1	4	3	2	5	5	5	5	4	4	2	2	5	5	5	2	2	2	4	4	2	3	4	1	3	4	3	1	5	1	1	4	1	4	2	2	1	4	4	4	1				1			4	5	5	5	4	2	0	5	4	88	4	4	0	3	4	0	5	9	10	4	4	4	3	77	1		4	2	1	1	4	2	4	1	3	4	2	6			5	4	1	1	1	1	1	1	1	2		1.144990724676772	1.07966	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	14	11	17	4	2	2	1	1	5	2	5	1	4	5	2	5	2	1	2	5	2	5	2	3	4	4	4	1	4	4	1	3	4	1	3	5	77	1	2	1	4	1	3	1	1	2	4	1				1			4	1	5	5	7	4	2	2	7	7	3	6	0	2	7	3	3	9	10	0	5	0	3	2	1		1	2	1	2		4	4	1	2	3	1	1	1	3	20	1	1	5	2	4	2	1	2	2		0.3923888706911487	0.3615	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	15	11	3	2	2	3	1	1	2	4	4	4	5	4	5	1	2	4	2	4	2	5	2	3	4	4	4	1	4	4	1	4	4	3	1	5	1	1	4	1	4	1	2	5		2	4	6				1			4	8	5	5	7	4	1	6	6	8	5	3	3	5	8	8	4	8	10	4	6	4	3	1	5	5			4					1	2	4	1	6			4	5	1	1	1	5	1	1	2	2		0.39848680584378143	0.37575	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	16	11	30	2	3	3	3	1	2	3	4	4	3	2	3	3	4	4	1	4	2	4	4	2	2	4	4	1	3	4	2	3	4	3	2	5	2	3	4	2	3	1	3	5		3	4	1				1			4	1	4	3	9	3	0	6	2	6	9	3	0	3	3	5	2	6	9	2	6	4	4	1	5	1	1	3	3	4		4	2	1	2	4	2	6			6	1	1	5	2	3	3	2			1	1.2205945154648044	1.15095	63	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	17	11	28	7	2	1	2	1	4	3	3	2	4	4	3	1	3	5	1	4	5	4	88	3	2	3	2	2	1	4	1	2	1	2	1	3	3	2	4	2	3	1	2	1	1	2	4	1				1			4	1	5	4	8	4	0	8	5	5	9	7	0	6	6	6	4	8	10	3	5	0	4	2	1		1	2	2	4		3	3	2	1	1	2	7			15	5	1	5	2	2	2	2			1	1.3766274196399086	1.29808	377	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	18	10	21	5	3	4	1	1	1	5	1	5	1	1	2	5	1	1	3	1	1	4	5	3	5	4	4	1	2	4	1	77	4	1	1	3	4	1	4	1	1	2	3	1	1	2	4	1				1			4	1	2	2	6	5	5	1	3	6	6	5	3	0	3	6	3	5	8	3	7	5	4	1	1		1	3	4					1	1	1	1	1	2	2	12	1	1	5	2	3	2	1	2	2		1.1032914533373774	1.04034	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	19	11	3	3	2	2	1	1	1	2	1	5	1	1	1	1	3	3	2	5	3	4	3	3	3	4	4	2	2	4	1	2	4	1	3	4	2	1	3	1	3	2	3	1	10	3	4	10				1			4	8	1	3	6	0	0	5	8	5	8	0	0	7	9	8	3	6	9	3	5	4	4	3	5	5			4					1	3	4	2	1	1	2	77	2	1	5	2	5	2	1	2	1		0.3923888706911487	0.24716	37	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	20	10	23	6	4	3	1	1	1	2	1	2	1	2	2	5	2	1	2	4	4	4	5	2	2	4	4	1	1	1	1	1	3	1	2	1	1	2	77	2	4	1	3	1	2	3	4	2				1			4	2	2	3	5	8	5	6	7	8	2	8	4	2	4	6	1	7	8	1	5	5	4	3	1		2	3	1	4		4	77	2	2	3	2	1	5	2	13	2	1	1	2	1	1	2			1	0.3923888706911487	0.25902	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	21	11	16	7	2	1	1	1	1	5	1	2	4	4	88	5	1	1	5	4	1	5	5	4	5	2	4	1	3	3	1	1	4	2	1	2	2	2	4	1	4	1	88	1	2	3	4	2				1			4	2	5	5	3	5	3	1	2	1	2	7	2	1	2	1	1	4	10	3	3	1	4	4	5	1	2	3	2	4		4	4	1	1	1	2	1	8	2	16	4	1	5	2	1	3	2			3	1.286155272184066	1.21277	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	22	11	16	6	4	3	4	1	1	5	2	1	2	1	1	2	1	1	4	5	1	2	5	3	5	4	4	1	1	1	1	1	1	1	1	5	1	1	3	1	4	1	4	5		3	4	1				1			4	1	5	5	4	2	1	4	1	1	4	9	1	2	4	1	4	8	10	5	5	1	4	4	1		1	2	1	4		77	4	2	1	3	2	7			5	6	1	1	2	1	1	1	2	2		1.1032066125004711	1.04026	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	23	11	21	2	1	1	1	1	5	2	4	1	5	3	5	1	3	77	3	5	5	5	3	2	2	4	4	1	77	77	77	77	4	4	1	5	2	1	5	2	5	1	3	5		3	4	5				1			66		5	5	5	4	1	8	8	9	5	5	0	8	8	8	4	9	10	3	4	3	4	2	1		5	2	1	1	77	4	4	1	2	4	2	10			77	4	1	1	2	4	4	1	2	2		0.6436450091888432	0.60692	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	24	11	21	5	3	4	1	1	1	4	5	5	1	1	5	3	3	77	88	4	4	2	4	2	2	4	4	2	3	2	2	1	4	77	2	5	2	2	4	1	5	1	77	1	1	3	4	1					1		3		5	3	9	4	0	8	7	88	8	7	0	8	5	1	3	7	8	3	4	3	4	1	1		1	2	1	2		2	77	2	1	1	1	1	3	1	17	1	2	1	1	1	3	1	2	2		1.113207226150789	1.04969	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	25	11	4	6	4	4	1	1	4	4	2	5	1	4	5	1	1	4	4	4	4	4	2	2	2	4	4	1	4	2	1	2	4	4	1	1	1	1	2	1	3	3	2	1	88	3	4	1				1			4	2	5	5	6	5	1	7	6	77	7	6	1	6	7	2	5	8	10	5	5	3	4	1	5	1	1	3	4		1			2	1	1	2	7			14	1	1	1	2	4	2	2			1	0.6775919490559342	0.63893	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	26	11	22	6	2	3	1	1	5	2	5	5	5	3	5	4	3	2	1	5	4	5	1	2	1	4	4	1	4	2	1	4	4	3	5	4	5	4	1	1	4	2	3	5		2	4	2				1			4	1	5	5	8	7	1	3	6	8	1	9	0	1	4	7	3	9	10	2	8	6	4	2	5	1	2	2	3	1	1	4	88	1	2	1	2	1	1	3	20	1	1	5	2	1	2	2			1	0.42404510796177247	0.39985	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	27	11	25	7	1	1	1	1	2	3	2	2	1	2	2	1	1	1	2	3	1	4	5	2	1	4	4	1	1	1	1	1	2	3	1	1	1	2	4	1	2	1	3	5		3	4	2				1			4	1	5	5	6	9	4	0	4	4	6	9	3	2	5	5	3	10	10	5	5	5	5	1	5	1	2	3	3	4		2	2	1	3	1	2	7			20	1	2	1	2	4	3	2			3	0.8275799436014725	0.78036	3	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	28	11	24	4	3	3	1	1	2	4	2	5	5	1	2	1	1	4	4	4	4	5	1	3	1	1	4	1	1	2	1	1	1	2	1	2	3	1	4	1	1	1	88	5		1	4	5				1			4	88	5	4	5	6	4	2	10	6	0	5	3	3	7	4	5	7	8	5	4	4	5	2	5	5			3	4		88	88	2	1	3	1	1	2	2	8	3	1	5	2	3	3	1	2	2		1.9757203843483868	1.86299	65	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	29	11	27	5	2	3	1	1	1	4	1	1	1	1	1	1	1	1	5	1	1	5	5	4	3	1	2	1	1	2	2	1	2	2	1	2	1	4	5	1	5	1	4	5		3	4	77				1			4	77	4	3	5	5	1	1	8	1	1	5	5	1	1	1	5	5	6	3	1	3	5	2	5	5			3	4		4	88	1	1	1	2	1	2	2	17	2	1	5	2	1	4	2			1	0.7200229726136446	0.67894	3	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	30	11	28	2	2	2	1	1	4	4	4	1	1	3	4	2	1	1	2	5	88	5	5	2	88	3	4	1	2	1	1	1	4	3	2	1	1	5	4	2	3	4	2	1	2	4	4	2				1			4	2	4	5	7	9	0	3	7	0	5	8	0	66	5	3	3	5	10	3	5	2	5	2	5	5			2	4		4	88	1	2	4	2	3	1	2	88	1	2	1	1	3	2	1	1	2		0.3923888706911487	0.27604	3	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	31	11	20	5	2	2	1	1	1	4	1	2	2	1	3	1	2	2	4	1	1	3	5	4	5	2	2	1	2	2	2	1	2	2	3	3	2	3	3	3	3	3	4	1	6	3	4	6				1			4	1	3	4	5	3	3	4	4	7	4	3	3	7	3	7	4	7	7	4	7	4	5	2	1		6	2	2	4		3	3	1	1	4	2	1	6	2	15	1	1	5	2	4	1	1	2	2		0.5748815108763727	0.54208	12	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	32	10	27	7	4	4	2	1	1	5	1	3	5	1	88	88	1	1	5	1	1	2	88	5	5	4	3	1	1	3	1	3	1	2	4	5	3	4	2	2	1	4	88	5		3	4	2				1			2		3	4	5	5	4	1	5	1	2	9	5	1	2	1	1	6	10	88	88	1	5	88	5	5			4					2	1	3	2	7			9	3	2	1	2	5	1	1	2	2		0.5902164921471674	0.55654	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	33	10	28	2	3	4	3	1	1	5	1	88	1	1	1	5	1	1	5	1	1	1	5	5	5	2	4	1	1	2	1	2	1	2	1	3	1	2	4	1	1	3	4	5		4	4	3				1			1		3	4	2	6	6	0	88	88	1	5	5	0	88	88	2	5	10	88	88	88	5	88	5	5			4					1	1	4	2	1	2	2	77	1	1	5	2	1	5	1	2	2		2.015478921543552	1.90048	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	34	11	30	5	3	3	2	1	1	3	3	3	3	2	3	2	2	2	3	2	2	3	5	3	2	3	2	1	1	3	1	1	3	2	2	4	1	2	4	3	88	2	3	5		4	4	1			1				4	2	4	4	3	3	4	0	0	0	4	3	4	0	0	0	0	5	10	77	77	77	5	2	5	88			77					1	3	3	1	1	4	1	15	1	1	1	2	5	1	1	2	2		0.4731149270073926	0.44612	10	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	35	11	12	7	4	4	3	1	1	3	1	1	4	1	1	1	1	1	3	2	2	5	5	2	4	4	4	1	2	3	1	4	4	2	2	1	88	1	3	3	3	1	77	5		2	4	1				1			4	1	5	5	5	5	8	5	5	5	5	2	2	5	2	2	5	9	10	4	7	1	5	3	5	1	1	3	1	2		88	88	2	1	1	2	7			18	2	1	5	2	5	2	1	2	2		1.3843797511122125	1.30539	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	36	11	28	7	1	1	1	1	2	3	1	2	3	3	2	4	1	3	3	1	3	3	4	5	5	2	2	1	1	1	1	1	1	3	2	1	4	3	3	1	1	4	4	1	2	2	4	2	1						4	2	5	5	0	8	5	0	5	5	0	8	5	0	5	5	0	5	5	0	7	5	5	3	1		2	2	1	4		4	1	1	1	1	2	2	5	2	18	1	1	5	2	3	3	2			1	1.286155272184066	1.21277	377	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	37	11	25	3	3	2	3	1	1	3	1	4	3	88	1	3	1	2	1	3	3	4	5	1	2	3	3	1	3	2	1	3	4	1	1	3	1	1	1	2	2	1	3	5		2	4	3	1						66		5	5	4	6	6	5	1	66	6	6	6	66	66	66	1	5	7	4	3	66	5	2	5	1	3	2	4		3			2	3	1	2	2	1	2	14	2	2	1	1	2	3	1	2	2		0.944405776021302	0.89052	61	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	38	10	23	4	3	3	2	1	1	5	2	2	5	2	5	5	2	1	2	5	4	2	4	2	4	4	4	1	3	2	2	3	4	3	2	5	1	1	4	1	4	1	2	1	1	3	4	1					1		1		3	3	8	5	2	4	6	4	8	8	1	6	6	5	3	7	8	4	5	2	5	2	5	5			3	1	88	3	3	2	3	1	1	1	4	1	17	4	1	5	2	1	4	2			1	0.8345368922277803	0.78692	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	39	11	15	6	4	4	5	1	1	4	5	5	1	1	1	88	1	3	5	1	1	5	5	4	5	2	2	1	1	2	1	1	2	2	1	2	2	1	2	1	4	1	77	5		2	4	77				1			4	1	5	5	5	5	5	0	2	5	4	9	77	0	7	7	5	5	10	0	2	88	5	1	5	5			4					2	1	1	2	7			8	3	1	5	2	2	2	1	1	2		0.6574634604999395	0.61995	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	40	10	23	4	3	3	1	1	2	3	2	5	4	5	4	2	1	1	88	3	1	1	5	77	5	2	4	1	1	2	1	1	2	4	1	3	88	1	2	1	1	4	3	1	2	2	3								4	2	3	4	4	7	4	4	2	77	2	7	4	4	7	0	3	6	9	3	6	3	5	2	1		2	2	1	3		4	4	2	1	1	2	2	1	2	13	3	1	5	2	2	2	2			1	2.555830211799104	3.86532	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	41	11	27	5	3	3	1	1	2	5	1	2	3	2	2	4	2	2	2	3	2	4	2	3	4	4	3	1	3	3	1	2	3	1	4	2	2	4	2	2	2	3	4	5		3	4	2				1			4	2	5	5	5	5	5	5	5	5	3	6	5	5	5	2	5	5	10	5	5	5	5	88	5	5			4					2	1	1	2	2	1	2	16	4	1	5	2	2	2	2			1	1.003168660683455	0.94593	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	42	11	27	2	3	4	3	1	4	2	5	77	1	77	5	5	4	3	77	5	3	5	88	2	1	4	4	1	3	4	1	3	4	1	1	4	1	1	5	1	4	1	77	5		77	4	6				1			2		3	5	6	3	2	8	4	8	1	3	1	2	7	9	4	8	9	4	8	5	5	88	5	5			1	1	88	77	77	1	1	4	1	5			10	2	1	1	2	3	2	1	2	2		2.0226585773667387	1.90725	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	43	10	31	6	4	4	4	1	1	5	1	88	4	1	88	88	1	1	88	2	1	88	5	5	5	3	1	1	1	1	1	1	2	1	2	1	88	4	2	4	1	1	3	5		88	4	2				1			4	1	77	2	2	2	2	2	2	2	4	7	2	2	5	3	3	5	8	88	2	88	5	88	5	5			4					2	1	1	2	7			18	2	1	5	2	4	2	2			1	0.6415770137892547	0.60497	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	44	11	28	2	3	3	4	1	2	4	2	4	1	1	1	2	1	1	2	4	3	4	88	2	2	4	4	1	1	4	1	1	4	2	2	4	1	2	4	4	88	1	77	77		3	4	1				1			66		5	5	6	2	1	8	3	88	7	2	2	9	88	1	5	7	10	5	5	5	5	1	5	5			4					2	2	1	2	3	5	2	15	3	2	1	1	5	2	1	2	1		0.3923888706911487	0.30117	63	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	45	11	28	4	2	2	1	1	2	4	2	1	1	2	1	1	1	1	1	1	1	1	88	77	5	3	3	1	1	2	1	1	3	88	1	2	1	1	3	77	3	2	3	5		3	4	3				1			4	1	4	3	2	88	7	0	0	88	3	4	7	88	3	88	3	8	8	0	88	4	5	3	5	1	3	3	3	4		4	2	2	1	1	2	2	1	2	77	3	1	5	2	5	4	2			1	1.239524627199499	1.1688	19	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	46	11	28	5	1	1	1	1	4	4	1	1	4	1	1	1	1	1	2	1	1	2	2	4	5	4	4	1	1	4	1	3	4	1	1	1	2	1	5	2	2	1	4	1	3	2	4	3				1			4	2	5	5	3	6	9	1	8	3	4	8	7	0	5	3	4	7	8	1	4	1	5	3	1		3	2	1	4		4	3	1	2	1	2	1	1	3	19	1	1	5	2	1	3	1	2	2		0.6928314843852094	0.6533	63	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	47	10	25	4	4	3	2	1	1	2	3	88	2	1	4	5	3	1	4	3	2	4	88	4	4	4	4	1	2	4	1	3	4	2	2	3	3	2	3	4	1	3	88	5		3	4	1				1			1		5	5	5	5	7	5	5	88	4	9	2	1	6	2	2	88	7	2	88	88	5	1	5	1	1	3	4		88			2	1	4	1	1	4	1	12	3	1	5	2	1	3	2			1	1.2774378761919545	1.20455	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	48	11	28	6	2	2	2	1	4	2	4	4	3	4	5	2	4	4	2	5	2	5	2	2	3	4	4	1	4	4	1	2	4	3	2	2	1	2	4	1	4	1	3	1	1	3	4	1				1			4	5	5	5	4	3	1	3	2	1	8	5	2	2	2	4	4	7	77	3	7	2	5	2	1		1	2	2	2		2	2	1	1	1	1	1	3	1	14	1	1	5	2	4	2	1	2	2		0.9093559052744304	0.85747	62	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	49	10	27	5	1	1	2	1	1	5	1	1	1	1	3	1	1	3	3	3	2	3	5	4	5	1	4	1	3	4	2	2	4	1	1	1	2	2	4	2	2	88	4	1	3	3	4	3				1			4	3	5	5	2	3	8	1	88	2	1	4	7	2	6	1	2	6	8	88	4	1	5	4	1		3	2	1	2		3	2	2	1	1	2	1	8	2	6	2	1	5	2	1	2	2			1	0.8361594732336114	0.78845	11	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	50	10	27	7	3	3	3	1	1	5	1	88	5	1	4	5	1	1	4	2	2	5	5	4	5	1	4	1	1	1	1	1	2	2	1	2	1	1	5	1	5	1	3	1	1	88	4	1				1			4	1	4	4	7	5	2	2	3	3	3	5	2	1	3	3	5	5	77	88	88	88	5	1	1		1	2	4					2	1	1	2	7			7	3	1	5	2	2	2	1	2	2		1.5035705218608022	1.41778	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	51	11	23	3	2	2	3	1	2	4	3	3	4	1	5	1	2	2	3	4	4	4	3	2	2	3	3	1	3	3	1	2	3	2	1	4	2	1	5	1	3	1	2	1	2	3	4	2				1			4	2	5	5	5	9	4	5	6	5	4	9	3	5	6	5	3	5	8	4	4	4	5	2	1		2	2	3	4		3	2	2	1	1	2	8			9	6	1	5	2	1	3	1	1	1		2.04938344099219	1.93245	11	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	52	10	29	7	2	2	2	1	1	5	1	2	1	1	1	1	2	1	2	3	3	3	3	2	3	4	4	1	1	3	2	1	3	1	1	5	1	1	5	1	5	1	4	1	6	5	4	6				1			4	5	5	5	2	2	0	2	2	10	2	2	0	3	66	10	8	8	10	88	8	2	5	4	1		6	3	2	2		1	1	2	1	1	2	7			6	3	1	5	2	1	2	1	2	2		1.0048018467938993	0.94747	11	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	53	11	21	7	3	3	3	1	1	5	1	5	2	1	88	2	1	1	3	4	2	4	3	4	5	4	3	1	1	4	1	1	3	1	1	1	1	1	2	4	5	3	4	5		3	4	1				1			4	1	2	5	5	3	0	4	4	3	8	4	0	3	5	6	5	5	8	4	4	4	5	1	5	5			4					2	1	1	2	7			17	5	1	1	2	1	2	2			1	0.9965086549863186	0.93965	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	54	11	22	4	3	3	4	1	2	5	5	5	5	2	4	4	1	1	88	5	1	1	3	4	2	4	4	1	2	4	1	4	4	1	4	3	4	1	4	1	4	1	77	1	1	3	4	5				1			4	1	5	5	77	3	3	3	7	9	1	7	2	1	7	1	5	9	9	5	5	5	5	1	1		1	3	2	1	1	4	4	2	1	1	2	8			12	2	1	5	2	1	5	1	2	2		2.555830211799104	2.59618	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	55	11	4	4	2	4	1	1	2	4	2	1	5	4	5	77	1	77	3	4	1	4	4	4	4	4	3	1	4	2	1	4	3	3	5	2	5	4	1	5	1	4	4	1	2	2	4	2				1			4	8	5	5	4	7	5	6	9	2	6	9	3	5	8	2	4	9	10	5	7	4	5	3	5	1	2	2	4		2			2	3	1	2	1	6	2	20	1	1	5	2	2	3	2			1	0.6550242864388865	0.61765	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	56	11	22	2	4	4	4	1	2	5	2	1	1	5	1	5	1	1	5	1	1	1	5	5	5	4	3	1	1	1	1	1	4	2	5	1	88	4	2	1	4	3	77	5		3	4	2				1			4	3	4	5	5	10	6	3	2	88	5	10	7	1	6	1	4	9	8	88	8	88	5	1	5	1	2	3	4		2			2	1	1	2	2	2	2	15	3	1	1	1	1	4	1	2	2		1.1823206929154975	1.11486	315	1
