version	doi	noresp	month	day	age	q01	q02	q03	q04a	q04b	q04c	q04d	q04e	q04f	q04g	q04h	q04i	q05a	q05b	q05c	q05d	q05e	q05f	q05g	q05h	q05i	q06a	q06b	q06c	q06d	q06e	q06f	q06g	q06h	q07	q08	q08a	q08b	q08c	q08d	q08e	q08f	q08g	q09	q10a	q10b	q11	q12a	q12b	q12d1	q12d2	q12d3	q12d4	q12d5	q12d6	q13a	q13b	q14a	q14b	q15a	q15b	q15c	q15d	q15e	q15f	q16a	q16b	q16c	q16d	q16e	q16f	q17a	q17b	q17c	q17d	q17e	q17f	q18	q21	q22a	q22b	q22c	q22d	f1	f2	f3	f4	f5	d02	d03	d04	d05	d06	d07a	d08	d09	d11	d14	d15	d16	d19	d20	c1	c2	c3	c4	gew	gew_roh	intnr	intsex
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	373	11	13	6	3	3	3	3	2	4	2	4	2	2	3	2	3	3	2	4	4	5	2	3	3	3	3	1	3	2	1	1	3	2	3	3	3	2	3	2	2	2	2	5		3	4	1				1			1		3	3	5	4	3	3	4	3	6	5	3	66	5	2	4	5	7	2	5	77	4	2	5	5			3	4		2	3	2	2	3	2	7			5	1	1	5	2	4	1	1	2	2		0.4800824807383138	0.45269	211	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	375	10	26	7	1	1	1	3	5	2	2	5	4	2	5	4	3	3	3	4	2	5	2	2	2	4	4	1	3	2	1	3	4	3	2	3	1	1	3	2	4	2	2	1	1	3	4	1				1			4	1	5	5	9	5	1	4	3	9	5	5	1	3	4	8	4	8	10	3	5	4	4	1	1		1	1	2	2		3	2	1	2	1	1	7			18	1	1	5	2	5	2	1	2	2		0.6484597266832697	0.61146	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	376	11	2	5	4	4	2	3	2	4	1	4	5	4	5	88	2	3	5	5	2	3	88	3	5	4	4	1	1	2	1	2	2	3	4	5	2	2	4	2	3	3	2	1	1	3	4	1				1			4	1	5	5	6	4	1	6	6	6	5	7	1	5	6	5	4	4	10	4	88	5	4	1	1		1	2	4					2	1	1	1	2	4	1	15	1	1	5	2	4	2	1	2	2		0.8429997657091733	0.7949	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	377	11	24	5	2	2	2	3	3	5	3	4	4	1	2	1	2	3	3	5	4	4	2	1	2	4	4	1	2	4	1	3	4	1	1	5	1	1	5	1	4	1	3	1	9	4	4	6				1			4	1	5	5	6	2	0	5	6	7	6	3	0	6	7	7	6	7	10	4	5	4	4	2	5	5			3	2		88	88	1	3	1	2	1	5	2	14	3	1	5	2	1	3	1	2	2		0.8543790429592165	0.80563	11	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	378	11	29	7	2	2	2	3	3	4	4	4	3	2	5	88	2	2	3	4	4	4	3	2	3	4	4	1	2	4	1	3	4	2	2	4	2	1	4	1	3	1	2	1	4	3	4	4				1			4	5	5	5	4	2	1	9	6	5	2	2	0	9	5	4	5	6	9	4	5	3	4	2	5	5			4					1	1	1	2	7			9	2	1	5	2	3	2	1	1	2		1.0675946712090962	1.00668	11	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	379	11	29	3	2	2	2	3	3	5	3	4	4	1	4	2	3	3	3	4	5	4	2	1	2	4	4	1	2	4	1	2	4	1	1	4	1	1	4	1	4	1	2	1	6	3	4	6				1			4	5	5	5	4	1	0	5	5	9	3	6	0	8	6	8	4	8	10	5	5	3	4	2	5	5			3	4		4	4	1	3	1	2	1	1	2	5	2	1	5	2	2	2	1	2	2		0.6407604207340325	0.6042	11	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	380	10	30	3	1	1	2	3	2	4	4	1	2	2	88	2	1	1	3	5	3	4	3	2	2	4	3	1	2	4	1	2	4	2	1	5	1	1	5	1	5	1	2	1	1	2	4	1		1					4	1	5	5	10	5	0	5	4	7	9	3	0	5	5	6	4	6	10	4	6	3	4	1	1		1	2	2	2		1	4	2	2	1	2	2	1	2	9	1	1	5	2	3	4	2			1	0.5069133954098978	0.47799	11	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	381	10	31	2	2	2	2	3	2	4	3	3	2	2	2	3	2	1	2	4	4	5	2	2	2	4	4	1	1	4	1	2	4	1	1	4	1	1	5	1	4	1	3	1	6	4	4	6				1			4	5	5	5	2	4	0	2	6	10	5	0	0	9	7	10	7	8	10	4	6	2	4	3	1		6	2	3	4		88	88	1	2	1	2	6			6	1	1	5	2	4	2	1	2	2		0.4637294094246448	0.43727	11	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	382	11	1	6	2	2	2	3	4	4	3	2	2	2	4	3	2	2	2	4	4	4	3	2	2	4	3	1	2	3	1	2	4	2	1	3	1	1	5	1	5	1	3	1	1	4	4	1				1			4	1	5	5	9	3	0	6	6	7	8	5	0	7	6	7	4	7	10	3	5	3	4	2	1		1	2	2	2		2	3	1	1	1	2	7			8	2	1	5	2	3	2	2			1	0.8718668604665059	0.82212	11	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	383	11	9	6	3	1	3	3	2	4	4	1	2	2	3	1	2	4	2	5	5	4	88	2	2	3	4	1	2	4	2	4	4	1	1	5	2	2	5	1	4	2	3	5		2	4	1				1			4	1	5	5	9	4	0	6	5	7	7	3	1	6	6	7	4	6	10	6	5	4	4	2	5	5			3	4		88	88	1	3	1	2	7			8	1	1	5	2	1	2	2			1	1.091827335250428	1.02953	11	1
