version	doi	variable	data	sex	age0	age1	age2	age3	age4	age5	age6	age7	age8	age9	age10	age11	age12	age13	age14	age15	age16	age17	age18	age19	age20	age21	age22	age23	age24	age25	age26	age27	age28	age29	age30	age31	age32	age33	age34	age35	age36	age37	age38	age39	age40	age41	age42	age43	age44	age45	age46	age47	age48	age49	age50	age51	age52	age53	age54	age55	age56	age57	age58	age59	age60	age61	age62	age63	age64	age65	age66	age67	age68	age69	age70	age71	age72	age73	age74	age75	age76	age77	age78	age79	age80	age81	age82	age83	age84	age85	age86	age87	age88	age89	age90
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"TFWI"	"NTA"	0	7739.019	7209.934	7075.401	7308.688	7542.242	7824.666	8189.601	8703.041	9342.314	9943.03	10627.57	11287.23	11765.09	12056.55	12245.31	12110.14	11708.91	11061.16	10192.85	9144.871	8053.75	6975.912	6058.984	5292.13	4661.445	4170.088	3807.188	3532.205	3337.912	3211.188	3166.881	3184.406	3171.337	3184.259	3210.201	3179.089	3193.21	3255.963	3336.19	3368.627	3431.365	3462.945	3472.135	3450.21	3445.717	3437.601	3443.372	3443.874	3468.479	3498.73	3525.12	3572.488	3612.705	3620.625	3640.562	3647.199	3632.208	3624.449	3599.535	3602.26	3576.986	3566.925	3551.679	3521.384	3511.532	3493.548	3486.243	3478.952	3440.726	3414.218	3430.969	3436.556	3443.656	3439.244	3383.531	3268.201	3071.495	2850.232	2646.353	2547.305	2529.055	2594.9	2697.384	2795.909	2900.002	2949.472	3001.593	3047.959	3109.533	3220.964	3432.846
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"TFWO"	"NTA"	0	7.94E-6	1.64E-5	1.51E-5	8.4E-6	1.39E-5	16.62203	1.92E-5	20.62203	2.085445	6.031142	5.58E-5	41.07327	29.78269	7.6E-5	10.36656	8.83E-5	77.49141	86.54068	351.6129	383.9434	685.1132	986.0356	1275.765	1565.841	1876.446	2229.945	2616.307	3060.239	3566.235	4142.352	4695.888	5265.896	5882.134	6498.395	7062.967	7668.656	8184.533	8625.133	9013.403	9359.898	9573.47	9751.105	9772.49	9741.245	9715.907	9709.521	9680.773	9705.196	9600.52	9346.889	9017.561	8635.47	8245.589	7926.793	7626.773	7343.193	7021.829	6669.716	6356.6	6004.772	5714.742	5425.755	5170.337	4939.225	4724.664	4523.881	4346.461	4190.685	4087.227	3974.234	3816.089	3740.751	3693.25	3671.922	3638.165	3639.094	3633.659	3592.391	3579.388	3476.085	3398.702	3341.381	3288.671	3226.985	3162.744	3116.254	3012.603	2921.178	2799.894	2579.908	2160.281
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"TGC"	"NTA"	0	1505.575	1638.793	1508.249	1516.831	1478.957	1599.209	1719.464	1841.602	1964.292	2084.209	2206.048	2338.897	2469.316	2603.888	2746.504	2910.843	3063.971	3235.236	3400.547	3558.273	3689.005	3848.486	3988.808	4137.637	4291.075	4451.197	4551.774	4635.002	4675.668	4694.979	4679.881	4668.637	4637.09	4612.032	4565.381	4540.188	4507.462	4498.241	4532.632	4583.377	4624.589	4682.944	4730.321	4699.025	4664.444	4615.179	4577.95	4580.704	4660.633	4755.353	4885.532	4992.067	5053.709	5066.347	5097.601	5119.143	5162.086	5228.752	5314.213	5356.394	5381.976	5407.035	5420.406	5430.23	5460.587	5498.378	5500.836	5496.089	5477.697	5430.555	5355.465	5288.14	5188.328	5049.427	4882.474	4729.269	4586.125	4470.97	4385.454	4358.336	4341.682	4341.786	4359.195	4408.265	4453.706	4495.901	4543.054	4594.507	4627.093	4679.311	4878.595
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"TGIC"	"NTA"	0	257.1038	83.00153	86.43731	92.8242	99.99214	104.3211	106.279	134.1145	153.5846	163.9146	182.843	191.1774	202.5625	208.7505	222.0178	254.5491	342.2582	424.0865	927.1588	964.8767	1191.212	1448.727	1667.014	1862.397	2039.509	2215.956	2455.421	2607.448	2876.453	3163.739	3464.485	3691.759	3885.896	4057.642	4165.089	4188.71	4219.735	4259.036	4235.909	4199.512	4132.291	4093.111	3993.874	3902.172	3771.68	3688.371	3587.75	3498.81	3397.223	3335.878	3306.34	3245.726	3363.69	3411.994	3553.887	3781.307	4257.817	5515.39	6550.943	7752.845	9556.668	11992.64	15875.1	17143.82	17590.98	18264.21	19134.56	19227.1	19268.35	19076.86	19412.94	19784.37	19802.54	19727.1	19696.97	19635.75	19565.88	19078.91	19045.67	18857.17	19052.02	19414.99	19783.55	20159.99	20658.16	21451.41	22087.95	22800.35	23283.17	23849.48	24763.67
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"TGNF"	"NTA"	0	-36.15824	-39.35763	-36.22246	-36.42857	-35.51897	-38.42704	-41.31571	-44.24865	-47.19549	-50.07503	-53.00108	-56.19128	-59.32376	-62.55516	-66.04882	-72.36237	-82.39301	-95.49007	-115.145	-143.3499	-176.68	-213.507	-243.0915	-267.8155	-291.5782	-313.5409	-335.3376	-358.3504	-373.5175	-386.8777	-398.0908	-407.8745	-420.1576	-431.3479	-445.702	-462.9803	-476.9775	-492.1865	-515.4268	-533.1412	-564.4867	-565.1654	-578.0253	-592.1855	-608.4236	-612.4045	-628.0212	-635.8276	-648.9971	-655.0385	-669.4105	-670.1511	-676.613	-685.7171	-694.4474	-703.9001	-691.2523	-669.7509	-651.8431	-621.0744	-567.2813	-504.1749	-383.1547	-313.926	-285.2719	-243.7721	-211.0394	-203.9613	-200.0185	-203.0855	-198.785	-199.1277	-195.7442	-193.9268	-190.3434	-186.0113	-180.0439	-180.0153	-169.4109	-164.9746	-160.7302	-158.111	-155.1889	-154.2536	-154.6637	-155.2488	-155.2811	-156.279	-156.7099	-157.3381	-161.4765
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"TGO"	"NTA"	0	1505.575	1638.793	1508.249	1516.831	1478.957	1600.044	1720.324	1842.447	1965.15	2085.049	2206.885	2339.721	2470.153	2604.703	2750.174	3013.061	3430.721	3976.064	4794.466	5968.875	7356.69	8890.111	10121.97	11151.44	12140.88	13055.38	13962.96	14921.17	15552.71	16109.01	16575.91	16983.29	17494.73	17960.68	18558.36	19277.8	19860.63	20493.91	21461.6	22199.2	23504.38	23532.64	24068.11	24657.72	25333.85	25499.61	26149.86	26474.91	27023.27	27274.82	27873.25	27904.09	28173.15	28552.23	28915.75	29309.35	28782.71	27887.43	27141.77	25860.61	23620.74	20993.09	15953.99	13071.41	11878.29	10150.31	8787.367	8492.645	8328.47	8456.176	8277.108	8291.378	8150.498	8074.822	7925.614	7745.233	7496.758	7495.567	7054.017	6869.297	6692.566	6583.507	6461.833	6422.891	6439.967	6464.329	6465.672	6507.223	6525.165	6551.324	6723.641
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"TGSDIC"	"NTA"	0	234.2569	58.51162	61.36188	64.46989	69.73859	71.46855	71.00906	87.62038	97.53066	102.0831	112.6377	109.0559	109.9221	108.5456	109.729	118.4301	118.1974	135.2867	135.3442	146.1101	158.5302	163.8954	174.4685	178.346	186.6358	218.9312	227.2145	235.0436	239.9465	237.5622	261.1983	262.2736	264.8651	266.9673	270.8194	277.3682	281.4081	286.5303	292.8812	295.721	316.0027	320.2462	338.7885	343.8354	363.4992	378.6201	394.1643	408.1486	428.5136	450.6588	470.1675	487.944	504.2024	535.2758	551.4833	576.8765	595.6635	602.428	602.8132	604.374	613.4885	580.2899	509.2032	487.8042	487.2262	510.6225	499.2055	534.8401	572.5244	612.7277	654.5378	674.1868	734.3399	777.9958	847.9996	921.4306	1011.233	1159.916	1316.696	1489.358	1698.349	1938.73	2215.831	2494.932	2797.796	3127.177	3485.7	3849.41	4178.875	4663.317	6127.534
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"TGSFIC"	"NTA"	0	0.0	0.0	0.0	0.0374307	0.0	0.150446	0.0438417	0.1596969	0.1324227	0.1190371	0.2668892	0.362058	0.4340578	0.2303293	0.620645	3.037932	10.9844	28.14315	434.2026	332.0927	325.362	371.1876	452.7794	531.9803	633.8973	739.7991	913.4567	1073.583	1292.661	1525.783	1748.745	1947.111	2129.687	2301.191	2414.54	2440.059	2492.613	2518.13	2503.774	2489.783	2413.448	2379.093	2263.295	2136.978	2004.424	1858.29	1718.911	1567.214	1429.115	1282.899	1140.906	983.4609	856.1948	727.2713	635.6516	526.7284	441.6946	366.9961	304.9056	253.2428	215.4453	181.6146	153.89	133.6275	114.3847	100.7329	89.24758	83.18567	78.77329	77.55942	70.46304	61.14419	60.14605	57.08779	58.69384	55.65336	54.43974	56.83909	54.85054	55.38702	48.39904	52.81908	46.92398	41.43367	39.81782	44.05383	41.23552	42.77924	37.71147	27.69734	11.52189
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"TGSOAIC"	"NTA"	0	0.887875	2.530788	3.116303	6.357736	8.294416	10.74303	13.26693	24.37527	33.96243	39.75322	47.97922	59.80032	70.24724	78.0154	89.48794	107.6967	107.6162	101.126	92.33748	78.05096	67.49326	66.47307	72.08204	72.17707	73.65108	74.0863	61.39167	41.99486	27.50829	33.16322	37.95057	46.38256	51.69984	63.35285	67.81531	78.86928	90.09626	103.881	121.4151	133.7225	148.5642	159.1694	185.3155	208.803	229.1029	265.2042	301.1136	337.5478	373.0165	426.8728	507.4208	587.6328	836.3773	976.7492	1166.93	1389.434	1808.095	3227.615	4300.372	5521.528	7483.508	10167.26	14401.85	15948.08	16463.18	17148.82	18106.14	18170.94	18178.98	17948.1	18250.9	18612.6	18571.95	18456.04	18354.71	18223.15	18064.45	17426.65	17237.6	16876.98	16869.44	16987.85	17085.37	17188.51	17385.16	17844.78	18125.7	18472.94	18631.17	18723.07	18189.84
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"TGSUIC"	"NTA"	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2210899	3.425316	22.87622	48.45652	102.2331	234.2863	432.7555	617.0898	714.0378	781.5089	814.2566	853.1448	893.2777	899.1426	928.4313	949.2718	981.9043	1001.305	1004.957	991.4435	977.2286	957.7275	920.9327	915.8075	883.1524	845.5998	819.5898	799.9163	771.7882	777.8689	739.968	751.5708	738.874	751.2141	731.8914	740.761	753.1604	752.0012	732.229	738.0115	765.1356	853.5816	977.678	883.665	908.1666	939.0124	809.5361	628.7885	375.4672	139.632	91.49872	69.34163	5.284031	3.454188	3.389059	3.789127	2.358032	1.759845	1.418417	1.29027	0.882952	0.8279969	1.083165	0.8114333	1.842773	0.7632817	1.138782	0.9037476	0.7305778	0.4301903	0.7062917	0.7198768	0.6333079	0.5345796	0.7290946	0.7043304	0.0854291
