version	doi	age	SEX	POP	YL	YAF	YS	YR	Y	TGYL	TGYS	TGYA	TGC	TGO	YN	TGSOAIC	TGSDIC	TGSFIC	TGSUIC	TGSXIC	TGXIC	TFB	TGIC	YD	TFW	TFWI	TFWO	YDF	CGH	CGE	CGS	CGX	CG	YDFA	YDA	CF	SF	YAG	TGNF	SG	PH	PHHW	PHCC	CH	CHHW	CHCC	THOHW	THIHW	THOCC	THICC	THO	THI	PHM	PHHWM	PHCCM	CHHWM	CHCCM	THOHWM	THIHWM	THOCCM	THICCM	THOM	THIM
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	14.0	2.0	40012.5	14.33767	5.031043	0.0	9.802694	29.171408	3.069753	0.9960298	-9.020848	2761.898	2756.9429	-2727.7715	88.20597	99.64215	0.8192165	0.4149143	21.95913	0.0	0.0	211.0414	-2516.73	12568.886	12591.528	22.64295	10052.156	904.8094	10964.63	324.9231	2571.958	14766.33	24818.486	8447.9	10500.9	-448.74472	-60.27803	-66.2114	35.35365	61.261177	57.888687	3.3724885	139.21094	124.097	15.113934	9.813189	76.0215	3.3724885	15.113934	13.185677	91.13544	5658.2974	5384.6323	273.6652	11543.131	1226.4409	912.79333	7071.292	273.6652	1226.4409	1186.4585	8297.733
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	15.0	2.0	41653.0	381.8775	52.63291	0.0	20.53867	455.04907	61.049152	2.1859097	15.169481	2919.983	2998.3875	-2543.3384	108.5993	116.492	5.570876	2.779843	21.95913	0.0	0.0	255.401	-2287.9375	12603.427	12603.427	6.44E-5	10315.489	1137.72	10467.4	330.3144	2571.9575	14507.39	24822.879	8179.463	11083.19	-767.70105	-65.557	-72.00999	38.44981	65.26927	63.172462	2.0968122	129.2112	124.25739	4.953798	11.178225	72.26315	2.0968122	4.953798	13.275037	77.21696	6046.2617	5876.113	170.14871	11558.051	401.98273	1039.765	6721.702	170.14871	401.98273	1209.9137	7123.685
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	16.0	2.0	41620.5	1513.081	102.1989	0.0	33.63665	1648.9166	229.50122	0.7054189	29.45502	3077.218	3336.8796	-1687.963	112.5129	112.6263	19.95299	17.64861	21.95913	48.05146	2.093494	332.7513	-1355.2117	12266.882	12301.404	34.5228	10913.764	1138.195	10530.43	330.7546	2571.9573	14571.34	25485.104	9175.218	11771.92	-858.1561	-72.95781	-80.13927	42.79045	71.97339	70.71676	1.2566267	125.73462	125.73462	0.0	13.679289	68.69714	1.2566267	0.0	14.935915	68.69714	6679.832	6577.8613	101.9707	11695.458	0.0	1272.4064	6390.0024	101.9707	0.0	1374.3771	6390.0024
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	17.0	2.0	43208.5	2944.031	181.0229	0.0	58.5929	3183.6467	468.9192	0.32209972	52.17312	3254.822	3776.2363	-592.5896	115.2994	128.5324	52.1125	38.60939	21.95913	60.79737	2.6488042	417.3101	-175.27951	11651.766	11728.435	76.66914	11479.135	1138.368	9399.14	338.9868	2571.9583	13448.45	24927.586	9223.86	12440.44	-961.3059	-82.56394	-90.69096	48.42454	95.280014	78.85537	16.424643	127.229164	127.22916	0.0	16.570333	64.94412	16.424643	0.0	32.994976	64.94412	8667.69	7334.89	1332.8002	11834.476	0.0	1541.3228	6040.907	1332.8002	0.0	2874.1228	6040.907
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	18.0	2.0	45174.5	4547.856	294.7838	0.0	95.33628	4937.976	902.9275	5.928872	84.96045	3426.038	4419.855	518.1211	107.8409	130.3738	469.6015	86.78353	21.95913	95.00758	4.1392646	911.5664	1429.6875	10608.792	10925.695	316.9034	12042.619	1137.826	6804.662	348.6327	2571.9585	10863.08	22905.7	8234.35	13112.06	-1069.4403	-96.63606	-106.1483	56.67798	106.88928	88.04013	18.849157	128.39468	128.39468	0.0	20.508575	60.86313	18.849157	0.0	39.357735	60.86313	9718.77	8189.229	1529.5408	11942.889	0.0	1907.6462	5661.3057	1529.5408	0.0	3437.187	5661.3057
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	19.0	2.0	47972.0	7012.724	439.5117	11.41025	140.5956	7604.2417	1742.9215	2.9683807	126.67293	3598.304	5470.8667	2133.375	96.21288	137.2859	431.6252	201.5491	21.95913	124.0012	5.402454	1012.634	3146.009	9374.373	9870.838	496.46457	12525.784	1137.855	4493.112	374.3891	2571.9578	8577.314	21103.098	7639.121	13675.12	-1149.3359	-119.6155	-131.3896	70.15562	119.22567	97.65094	21.57473	128.46968	128.46968	0.0	24.031513	54.850258	21.57473	0.0	45.606243	54.850258	10833.909	9083.197	1750.7112	11949.865	0.0	2235.3394	5102.0063	1750.7112	0.0	3986.0503	5102.0063
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	20.0	2.0	49083.0	9999.197	588.8827	33.08152	191.7466	10812.908	2823.072	4.575639	169.72354	3727.52	6724.891	4088.017	88.72527	161.2539	487.4516	335.2139	21.95913	198.2941	8.639226	1292.898	5380.915	7887.724	8678.036	790.3118	13277.278	1309.059	3633.806	408.2053	2571.9578	7923.028	21200.307	9014.721	14123.17	-845.89185	-147.0336	-161.5066	86.2366	127.84989	104.24211	23.60778	129.78036	129.78036	0.0	28.123161	53.66141	23.60778	0.0	51.73094	53.66141	11611.975	9696.289	1915.6858	12071.78	0.0	2615.9321	4991.4233	1915.6858	0.0	4531.618	4991.4233
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	21.0	2.0	51449.0	12491.09	795.762	57.7034	265.4943	13610.05	3788.1643	7.380306	229.3488	3865.331	7890.2246	5719.825	81.90373	168.0785	592.5374	449.0994	21.95913	199.3869	8.686836	1512.965	7232.79	6372.4893	7456.6484	1084.1592	13613.967	1308.849	3057.399	431.5696	2571.9575	7369.775	20983.742	10290.189	14570.46	-956.49365	-172.5125	-189.4935	101.1803	148.25336	122.68908	25.56428	129.91093	129.91093	0.0	30.53984	37.761703	25.56428	0.0	56.104122	37.761703	13486.618	11412.17	2074.4485	12083.926	0.0	2840.7246	3512.4802	2074.4485	0.0	4915.173	3512.4802
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	22.0	2.0	53542.0	14254.41	914.7542	67.40547	345.4878	15582.058	4535.62	8.989164	263.6438	3975.078	8783.331	6798.7266	80.03033	177.1265	763.2614	525.8526	21.95913	211.2728	9.204679	1779.502	8578.229	5027.0884	6421.6523	1394.5638	13614.521	1308.455	2613.694	446.9705	2571.9575	6941.078	20555.6	11191.923	14918.32	-1303.7987	-192.0395	-210.9425	112.633	152.47412	125.53899	26.935143	130.00928	130.00928	0.0	33.67087	38.141163	26.935143	0.0	60.60601	38.141163	13862.949	11677.26	2185.6892	12093.073	0.0	3131.9634	3547.7764	2185.6892	0.0	5317.6523	3547.7764
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	23.0	2.0	54762.5	15860.88	1017.381	112.6215	432.3925	17423.275	5225.9033	21.790775	293.2222	4069.686	9610.603	7812.673	81.51261	180.6081	929.4313	587.9009	21.95913	289.3654	12.606994	2090.777	9903.45	3745.338	5464.0264	1718.6884	13661.395	1309.017	2290.098	460.3352	2571.9578	6631.408	20292.803	12193.548	15283.02	-1621.6251	-210.127	-230.8105	123.2415	151.32991	130.33374	20.996174	129.47086	129.47086	0.0	37.532856	36.669968	20.996174	0.0	58.52903	36.669968	13827.018	12123.254	1703.7633	12042.991	0.0	3491.1938	3410.9302	1703.7633	0.0	5194.957	3410.9302
