version	doi	BK1	BK2	CR1	D1	D2	D3	D4	D5	D6	D7	PD1	PD2	PD3	PD4	PD5	gruppeTR	filter_fp	wwwfpRES	wmob	tp	gs	RR_GS	ns	RR_NS	Regular	RR_RS	breakoff	dog	don	DogRR	DonRR	do	DoRR	mm	multim	dur1m	Home	smph	mobility	PRE_1	mob2	male	PRE_2	abbs12	v0tr	v6tr	v99tr	v99u6tr	a50p	re1	sowie1	tnf1	IAsmhs
"1.0 (2018-07-24)"	"10.11587/FA9LF5"				2	0	1	66	0	1	2	1	31	982	2	24	0	1	2.000126615422415	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	1	1	16.366666666666667				0.28571428571428603		1		0	1	0	0	0	1	1	0	0	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"		1	2	2	1	3	39	0	1	2	1	31	1350	2	24	1	1	1.9129423176653315	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	22.5		0		0.6470588235294118		1		0	0	1	0	0	1	1	0	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1		2	2	0	3	19	0	1	2	2	31	2034	2	24	0	1	1.289240172428941	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	33.9	1			0.28571428571428603		1		0	1	0	0	0	1	1	0	0	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			2	31	339	108	24	3	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			5.65				0.7272727272727236				0	0	0	0	1	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	7		5	2	1	3	23	0	1	2	2	31	4848	6	24	0	1	1.289240172428941	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	80.8	0			0.28571428571428603		1		0	1	0	0	0	1	1	0	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	3	4	1	1	1	38	0	1	2	2	31	1840	29	24	1	0	1.331020481238881	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	1	1	30.666666666666668	1			0.6470588235294118		0		0	0	1	0	0	1	1	0	0	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	3	5	2	0	3	22	0	3	2	2	31	1335	3	24	0	1	0.964762294499057	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	22.25	1			0.28571428571428603		1		0	1	0	0	0	1	0	0	1	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	3	2	1	1	4	22	0	2	2	2	31	989	1	24	1	1	0.6348261571285834	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665		0	16.483333333333334	1			0.6470588235294118		0		0	0	1	0	0	1	0	1	0	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	3	2	2	0	3	26	0	3	2	2	31	1087	0	24	1	1	1.1879259439681802	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	18.116666666666667	1			0.6470588235294118		1		0	0	1	0	0	1	0	0	1	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1		4	2	1	3	30	0	3	2	2	31	1456	5	24	0	1	1.1879259439681802	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	24.266666666666666	1			0.28571428571428603		1		0	1	0	0	0	1	0	0	1	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1		2	2	0	3	23	1	2	1	2	31	709	23	24	2	1	0.9123720013698119	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	11.816666666666666	1			0.6666666666666667		1		0	0	0	1	0	1	0	1	0	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			2	31	243	108	24	2	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			4.05				0.6666666666666667				0	0	0	1	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			1	22	738	111	11	1	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			12.3				0.6470588235294118				1	0	1	0	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"			5					0			1	22	31	120	7	3	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			0.5166666666666667				0.7272727272727236				1	0	0	0	1	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			1	22	560	110	1	1	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			9.333333333333334				0.6470588235294118				1	0	1	0	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			1	22	20	121	1	0	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			0.3333333333333333				0.28571428571428603				1	1	0	0	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	3				3		0	2	1	1	22	54	114	5	3	0	0.9347488735873521	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	0.9	1			0.7272727272727236				1	0	0	0	1	0	0	1	0	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1		2			1		0	2	1	1	22	606	42	18	2	1	0.9347488735873521	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	1	1	10.1	1			0.6666666666666667				0	0	0	1	0	1	0	1	0	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			1	22	79	121	6	3	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			1.3166666666666667				0.7272727272727236				1	0	0	0	1	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			1	22	39	121	1	1	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			0.65				0.6470588235294118				1	0	1	0	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			1	22	3	121	1	1	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			0.05				0.6470588235294118				1	0	1	0	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	6					3		0	2	1	1	22	463	78	13	1	0	0.9347488735873521	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	7.716666666666667	0			0.6470588235294118				0	0	1	0	0	0	0	1	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	3	3						0			1	22	1148	116	4	2	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			19.133333333333333	0			0.6666666666666667				1	0	0	1	0	0				0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			1	22	1406	107	1	2	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			23.433333333333334				0.6666666666666667				1	0	0	1	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			1	22	2	121	1	1	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			0.03333333333333333				0.6470588235294118				1	0	1	0	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			1	22	27	119	9	2	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			0.45				0.6666666666666667				1	0	0	1	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	3	4			3		0	2	1	1	22	314	85	1	0	0	0.9347488735873521	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	5.233333333333333	1			0.28571428571428603				1	1	0	0	0	0	0	1	0	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	2	3	1			3		0	3	1	1	22	151	94	8	3	0	0.9884240931424767	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	2.5166666666666666	0			0.7272727272727236				1	0	0	0	1	0	0	0	1	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			1	22	2	121	1	1	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			0.03333333333333333				0.6470588235294118				1	0	1	0	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			1	22	14	119	4	1	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			0.23333333333333334				0.6470588235294118				1	0	1	0	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			2	22	62	115	9	3	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			1.0333333333333334				0.7272727272727236				1	0	0	0	1	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1					3		0			2	22	37	116	5	0	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	0.6166666666666667	1			0.28571428571428603				1	1	0	0	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	6		1			3		0	2	2	2	22	359	81	11	0	0	0.9347488735873521	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	5.983333333333333	0			0.28571428571428603				1	1	0	0	0	0	0	1	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	6	3	2					0	3	2	2	22	156	101	20	3	0	0.9884240931424767	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			2.6	0			0.7272727272727236				0	0	0	0	1	0	0	0	1	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	7	3	4			3		0	1	2	2	22	638	53	16	2	0	1.3208601284916528	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	10.633333333333333	0			0.6666666666666667				0	0	0	1	0	1	1	0	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			2	22	107	119	9	1	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			1.7833333333333334				0.6470588235294118				1	0	1	0	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			2	22	8	121	2	3	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			0.13333333333333333				0.7272727272727236				1	0	0	0	1	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	3	4			3		0	3	1	2	22	1481	76	16	2	0	0.9884240931424767	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	24.683333333333334	1			0.6666666666666667				0	0	0	1	0	0	0	0	1	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			2	22	23	119	4	1	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			0.38333333333333336				0.6470588235294118				1	0	1	0	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	3	4			3		0	2	2	2	22	586	75	12	3	0	0.9347488735873521	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	9.766666666666667	1			0.7272727272727236				1	0	0	0	1	0	0	1	0	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			2	22	141	120	1	1	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	0	7.329483734492024	1	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			2.35				0.6470588235294118				1	0	1	0	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	5	1	0	3	30	0	2	2	1	31	963	0	24	2	1	0.7816707454909783	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	16.05	1	0	1	0.27099236641221724	1	0	0.26047479942693996	0	0	0	1	0	1	0	1	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	3	1	1	3	27	0	2	2	1	31	1319	2	24	0	1	0.7816707454909783	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	21.983333333333334	1	0	1	0.3070539419087247	1	0	0.3032056034404576	0	1	0	0	0	1	0	1	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	2	1	1	3	27	0	2	2	1	31	601	2	24	1	1	0.7816707454909783	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	10.016666666666667	1	0	1	0.2846153846153864	1	0	0.27628148597633967	0	0	1	0	0	1	0	1	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	3	2	1	2	27	0	1	2	1	31	825	0	24	3	1	1.5874603076497473	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	1	1	13.75	1	0	1	0.1990950226607874	1	1	0.22556500347140082	0	0	0	0	1	1	1	0	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	4	2	1	3	31	0	2	1	1	31	941	1	24	3	1	1.1234170086841333	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	15.683333333333334	1	0	1	0.1990950226607874	1	1	0.22556500347140082	0	0	0	0	1	1	0	1	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	2	2	1	3	30	0	2	2	1	31	871	0	24	0	1	1.1234170086841333	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	14.516666666666667	1	0	1	0.3070539419087247	1	1	0.3032056034404576	0	1	0	0	0	1	0	1	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	1	2	0	4	23	0	3	2	1	31	887	0	24	1	1	0.964762294499057	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665		0	14.783333333333333	1	0	1	0.2846153846153864	1	1	0.27628148597633967	0	0	1	0	0	1	0	0	1	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	4	2	1	2	21	0	1	2	1	31	539	14	24	1	1	1.289240172428941	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	1	1	8.983333333333333	1	0	1	0.2846153846153864	1	1	0.27628148597633967	0	0	1	0	0	1	1	0	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	3	1	1	4	21	0	2	1	1	31	1877	0	24	0	1	0.6348261571285834	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665		0	31.283333333333335	1	0	1	0.3070539419087247	1	0	0.3032056034404576	0	1	0	0	0	1	0	1	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	1	2	1	3	25	0	2	2	1	31	1328	0	24	2	1	1.1234170086841333	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	22.133333333333333	1	0	1	0.27099236641221724	1	1	0.26047479942693996	0	0	0	1	0	1	0	1	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	2	2	0	3	26	0	3	1	1	31	3523	2	24	3	1	1.1879259439681802	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	58.71666666666667	1	0	1	0.1990950226607874	1	1	0.22556500347140082	0	0	0	0	1	1	0	0	1	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	2	1	1	2	31	0	1	2	1	31	845	0	24	1	1	1.104550912551482	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	1	1	14.083333333333334	1	0	1	0.2846153846153864	1	0	0.27628148597633967	0	0	1	0	0	1	1	0	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	3			3		0	1	1	1	32		24	24	3	1	1.3208601284916528	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0		1	0	1	0.1990950226607874	1		0.22556500347140082	0	0	0	0	1	1	1	0	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	4	2	1	3	32	0	2	1	1	31	791	0	24	1	1	1.1234170086841333	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	13.183333333333334	1	0	1	0.2846153846153864	1	1	0.27628148597633967	0	0	1	0	0	1	0	1	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	4	1	0	3	23	0	2	2	1	31	891	0	24	2	1	0.6348261571285834	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	14.85	1	0	1	0.27099236641221724	1	0	0.26047479942693996	0	0	0	1	0	1	0	1	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	2	1	0	3	18	0	1	2	1	31	1260	3	24	1	1	0.8970500881768257	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	21.0	1	0	1	0.2846153846153864	1	0	0.27628148597633967	0	0	1	0	0	1	1	0	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	4	2	0	3	25	0	1	2	1	31	1252	1	24	3	1	1.5874603076497473	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	20.866666666666667	1	0	1	0.1990950226607874	1	1	0.22556500347140082	0	0	0	0	1	1	1	0	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	4	2	1	2	57	0	1	3	1	31	1563	0	24	1	1	2.000126615422415	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	1	1	26.05	1	0	1	0.2846153846153864	1	1	0.27628148597633967	0	0	1	0	0	1	1	0	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	3	1	1	3	22	0	1	2	1	31	1049	1	24	1	1	0.8970500881768257	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	17.483333333333334	1	0	1	0.2846153846153864	1	0	0.27628148597633967	0	0	1	0	0	1	1	0	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	2	1	1	3	28	0	2	2	1	31	578	4	24	3	1	0.7816707454909783	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	9.633333333333333	1	0	1	0.1990950226607874	1	0	0.22556500347140082	0	0	0	0	1	1	0	1	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	3	1	1	3	26	0	2	2	1	31	771	6	24	2	1	0.7816707454909783	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	12.85	1	0	1	0.27099236641221724	1	0	0.26047479942693996	0	0	0	1	0	1	0	1	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	1	2	1	0	3	24	0	2	1	1	31	729	0	24	1	1	0.6348261571285834	0.9260563380281691	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	12.15	1	0	1	0.2846153846153864	1	0	0.27628148597633967	0	0	1	0	0	1	0	1	0	0
