version	doi	BK1	BK2	CR1	D1	D2	D3	D4	D5	D6	D7	PD1	PD2	PD3	PD4	PD5	gruppeTR	filter_fp	wwwfpRES	wmob	tp	gs	RR_GS	ns	RR_NS	Regular	RR_RS	breakoff	dog	don	DogRR	DonRR	do	DoRR	mm	multim	dur1m	Home	smph	mobility	PRE_1	mob2	male	PRE_2	abbs12	v0tr	v6tr	v99tr	v99u6tr	a50p	re1	sowie1	tnf1	IAsmhs
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	7		4	1	1	3	27	0	3	3	1	31	832	4	24	0	1	0.8265559013543143	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	13.866666666666667	0			0.28571428571428603		0		0	1	0	0	0	1	0	0	1	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	3	2	2	0	4		0	3	1	1	31	608	10	24	3	1	1.2023327879527577	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665		0	10.133333333333333	1			0.7272727272727236		1		0	0	0	0	1	1	0	0	1	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"		1	4	1	1	3	29	0	2	3	1	31	933	1	24	1	1	0.7816707454909783	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	15.55		0		0.6470588235294118		0		0	0	1	0	0	1	0	1	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"		1	2	1	1	1	38	0	1	2	1	31	713	2	24	3	1	1.331020481238881	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	1	1	11.883333333333333		0		0.7272727272727236		0		0	0	0	0	1	1	1	0	0	0
"1.0 (2018-07-24)"	"10.11587/FA9LF5"			2	1	0	4	24	0	2	1	1	31	999	3	24	1	1	0.6348261571285834	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665		0	16.65				0.6470588235294118		0		0	0	1	0	0	1	0	1	0	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"	1	3	5	2	1	3	23	0	1	1	1	31	685	1	24	0	1	1.289240172428941	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665	0	0	11.416666666666666	1			0.28571428571428603		1		0	1	0	0	0	1	1	0	0	
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			1	31	3055	108	24	0	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			50.916666666666664				0.28571428571428603				0	1	0	0	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			1	32		108	24	2	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665							0.6666666666666667				0	0	0	1	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			1	31	1287	107	24	0	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			21.45				0.28571428571428603				0	1	0	0	0	0				
"1.0 (2018-07-24)"	"10.11587/FA9LF5"								0			1	31	703	108	24	0	0	1.0630722828269479	1.0787486515641858	17491	2483	14.195872162826598	1923	10.994225601738036	1	7.329483734492024	0	560	641	22.553362867498993	25.81554571083367	1201	48.368908578332665			11.716666666666667				0.28571428571428603				0	1	0	0	0	0				
