focal0	Venus0	treatment	plate	focal96	venus96	focal_f	venus_f	r_f	r_v	w_ma	r_anc	w_anc	stma	stanc	s	st	rel	rel_unscaled	line	line2	gen	anc	rep	type	genic	exonic	intronic	intergenic	utr5	utr3	fold0	fold4	fold2	fold3	CDS	nonsynonymous	nonsense	SNP	indel
370	374	0	B	21825	19827	218250	198270	0.066457224	0.065345096	0.001112128	0.056552875	-0.008792221	0.013630927	-0.107762923	-0.009904349	-0.12139385	1.12139385	1.009904349	1952anc	1952_3	0	1952	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
384	554	0	C	4339	25243	43390	252430	0.049243143	0.063767964	-0.014524821	0.055860192	-0.007907772	-0.180232802	-0.098124439	0.006617049	0.082108363	0.917891637	0.993382951	1952anc	1952_4	0	1952	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
472	1078	0	C	12318	29936	123180	299360	0.05796274	0.058609785	-0.000647046	0.055860192	-0.002749593	-0.008028937	-0.034118622	-0.002102547	-0.026089685	1.026089685	1.002102547	1952anc	1952_5	0	1952	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
593	791	0	C	19508	20916	195080	209160	0.060374694	0.05809955	0.002275144	0.055860192	-0.002239358	0.028231364	-0.027787315	-0.004514502	-0.056018679	1.056018679	1.004514502	1952anc	1952_6	0	1952	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
572	213	0	D	21430	16311	214300	163110	0.061729096	0.069175916	-0.00744682	0.061729096	-0.00744682	-0.083619279	-0.083619279	0	0	1	1	1952anc	1952_7	0	1952	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216	224	0	B	27489	24277	274890	242770	0.074467166	0.072793997	0.001673168	0.056552875	-0.016241122	0.020507392	-0.199061284	-0.01791429	-0.219568676	1.219568676	1.01791429	1952L1	1952L1	1073.672953	1952	1	ma	25	14	11	3	2	6	4	2	0	0	6	3	2	23	5
219	171	0	A	5286	35088	52860	350880	0.057149276	0.079443083	-0.022293808	0.042046703	-0.03739638	-0.367517279	-0.616485795	-0.015102572	-0.248968516	1.248968516	1.015102572	1952L10	1952L10	1047.061965	1952	1	ma	15	7	8	4	1	3	2	0	1	0	3	2	0	15	4
94	195	0	D	3092	19030	30920	190300	0.06037358	0.071701641	-0.01132806	0.061729096	-0.009972545	-0.127201167	-0.111980279	0.001355515	0.015220887	0.984779113	0.998644485	1952L11	1952L11	1066.196226	1952	1	ma	23	11	12	4	2	4	4	0	1	0	5	4	1	20	7
242	151	0	D	13415	15726	134150	157260	0.065810168	0.072378916	-0.006568748	0.061729096	-0.01064982	-0.07375953	-0.119585307	-0.004081072	-0.045825777	1.045825777	1.004081072	1952L12	1952L12	1043.740747	1952	1	ma	49	30	19	0	0	11	13	4	2	0	19	12	2	44	5
392	532	0	C	10138	59635	101380	596350	0.05786843	0.073145204	-0.015276774	0.055860192	-0.017285011	-0.189563483	-0.214482916	-0.002008238	-0.024919434	1.024919434	1.002008238	1952L13	1952L13	1002.450907	1952	1	ma	30	13	17	8	2	5	5	1	0	0	6	5	0	33	5
