version	doi	A1	A2	A3	A4a	A4b	A4c	A5a	A5b	C01	C02	C03	C04	age	D02	D03	D04	D05	D06	D07a	D08	D09	D11	D14	D15	D16	D19	D20	Q01	Q02	Q03	Q04a	Q04b	Q04c	Q04d	Q04e	Q04f	Q04g	Q05a	Q05b	Q05c	Q05d	Q05e	Q06a	Q06b	Q06c	Q06d	Q07	Q08	Q09	Q10a	Q10b	Q11	Q12LH_a	Q12LH_b	Q12LH_d	Q13a	Q13b	Q14a	Q14b	Q15a	Q15b	Q15c	Q15d	Q15e	Q15f	Q16a	Q16b	Q16c	Q16d	Q16e	Q16f	Q17a	Q17b	Q17c	Q17d	Q17e	Q17f	Q18	Q21	Q22a	Q22b	Q22c	Q22d
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	289	315	1	10	29	2017	0.46292	0.49093150275769337	1	2	2	9	3	1	2	1	2	1	4	2	20	1	1	1	44	1	5	2	2	1	2	2	2	2	2	5	3	1	1	5	2	1	4	4	1	3	2	4	3	1	2	2	1	2	2	1	2	5	5	2	8	6	1	6	8	4	5	5	4	4	8	3	9	9	97	4	5	7	4	1	9	2	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	290	13	1	10	28	2017	1.61768	1.7155665630801553	1	2	1	9	4	1	1	1	1	1	2	2	16	1	1	5	44	1	3	2	2	2	2	2	3	4	4	3	3	2	2	4	2	2	3	3	1	1	1	2	4	5	99	4	1	3	2	5	99	5	4	1	4	8	2	7	2	2	5	8	1	7	2	4	6	7	0	6	2	7	4	5	1	3	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	291	211	2	11	22	2017	1.06415	1.1285422074215836	1	1	2	9	2	1	2	4	2	1	2	2	77	1	1	5	44	1	5	3	3	2	2	2	4	1	2	2	2	1	1	3	1	1	2	2	1	2	2	5	4	1	3	3	1	3	1	1	3	5	5	3	3	8	1	3	1	3	5	7	1	3	1	3	5	7	1	4	1	7	1	1	9	3	1
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	292	54	1	10	26	2017	1.34571	1.4271395329129344	2	9	9	3	7	1	1	2	2	7	9	9	16	5	1	5	44	1	4	3	3	3	2	2	4	2	2	3	3	1	2	4	2	1	2	2	1	2	2	5	3	1	2	2	1	2	1	1	2	5	5	4	8	7	1	2	1	3	7	5	1	3	2	3	5	6	1	4	2	7	2	5	1	2	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	293	52	2	10	28	2017	0.84248	0.8934588534591323	1	2	1	9	3	1	2	1	2	1	1	2	17	3	1	1	44	1	4	4	4	1	2	3	4	2	2	1	2	1	1	4	1	1	2	2	1	2	3	5	4	5	99	2	1	3	2	1	3	4	4	3	4	6	1	1	1	2	5	5	1	2	2	3	4	6	1	3	2	7	4	5	1	3	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	294	377	1	11	30	2017	1.82523	1.9356755093286633	1	2	2	9	5	1	2	1	1	10	9	9	10	1	1	5	44	4	2	2	2	3	2	3	4	2	2	2	3	1	2	3	2	2	2	3	1	1	1	1	4	1	3	2	1	3	2	1	1	4	4	6	5	9	1	3	1	6	6	8	1	2	1	5	7	9	2	3	1	7	4	1	9	3	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	295	11	1	11	22	2017	0.86792	0.9204382395953022	2	9	9	1	6	1	2	1	2	1	1	2	13	2	1	5	44	2	2	2	2	3	2	3	5	2	2	4	1	2	2	4	2	2	2	2	1	1	2	1	3	1	3	4	1	3	2	1	3	5	5	1	7	9	1	6	1	2	7	9	1	6	1	1	5	7	3	5	4	7	2	1	9	3	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	296	37	1	11	18	2017	1.30029	1.3789711477594424	2	9	9	1	7	2	2	1	2	7	9	9	88	6	1	5	996	1	2	3	2	3	2	2	3	3	2	2	3	3	3	3	2	2	2	2	1	1	2	2	3	5	99	3	1	2	2	1	2	4	4	4	8	5	2	5	3	4	8	4	2	6	3	5	7	9	2	6	4	7	2	5	1	2	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	297	37	1	11	26	2017	0.60186	0.6382788262545264	1	2	2	9	5	2	2	4	2	2	1	1	11	6	1	5	44	2	1	2	2	3	2	3	3	3	2	3	2	2	2	4	1	2	2	2	1	1	2	2	3	5	99	4	1	2	2	1	10	3	4	3	8	5	0	4	2	3	7	5	0	5	3	4	7	8	1	5	3	7	2	5	1	2	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	298	62	1	11	28	2017	0.56258	0.596621975333585	1	2	2	9	6	1	2	1	2	7	9	9	18	1	1	5	44	1	2	2	2	1	2	4	4	3	2	3	4	1	1	4	2	2	4	4	1	3	2	4	3	5	99	2	1	2	2	1	3	5	5	3	9	8	1	5	5	4	8	7	4	6	3	3	7	9	1	3	3	7	4	5	1	2	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	299	315	1	11	2	2017	0.32946	0.3923888706911487	2	9	9	1	3	2	2	1	2	2	1	3	19	1	1	1	996	4	3	4	4	1	2	4	5	4	4	5	2	1	1	4	3	1	4	4	1	1	3	5	8	1	2	2	1	2	2	5	99	5	5	3	8	4	3	4	98	5	8	5	5	5	5	3	8	8	98	5	3	7	1	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	300	62	1	11	30	2017	1.48832	1.5783789298028392	1	2	2	9	7	1	2	1	2	7	9	9	19	2	1	1	44	2	2	1	1	1	2	4	4	4	3	5	4	1	1	4	1	1	4	4	1	2	1	3	4	1	2	2	1	2	2	1	2	5	5	2	8	1	4	7	97	4	9	1	5	7	7	2	6	8	1	3	4	7	5	1	9	2	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	301	315	1	11	3	2017	1.13806	1.2069245356182938	1	2	2	9	5	1	2	1	2	1	4	2	20	3	1	5	44	1	5	2	2	4	2	1	5	2	2	5	2	1	1	3	1	3	4	4	1	1	1	4	4	1	2	2	1	2	1	1	3	5	5	3	9	4	6	2	6	1	9	6	2	7	7	3	7	9	1	7	4	7	2	1	9	2	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	302	11	1	10	29	2017	1.84699	1.9587522169671479	1	2	1	9	4	2	1	1	2	8	9	9	8	1	1	5	44	1	2	3	3	4	2	2	4	1	1	1	2	1	1	5	1	1	2	2	1	1	1	1	3	1	3	5	1	3	2	1	3	3	4	0	5	10	0	98	0	0	7	10	0	98	0	1	5	7	0	98	0	7	2	1	9	3	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	303	13	1	11	18	2017	1.05192	1.115572164479549	1	2	2	9	2	1	2	1	2	1	2	2	14	1	1	5	44	1	2	3	4	4	2	2	4	2	4	1	1	2	2	4	2	2	1	2	1	1	1	1	3	1	3	4	1	3	2	5	99	5	5	4	3	8	2	5	2	4	4	8	1	3	3	3	6	7	2	5	2	7	5	1	9	3	1
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	304	19	2	11	7	2017	0.29999	0.3923888706911487	1	2	1	9	2	2	2	1	2	1	4	2	77	2	1	5	44	1	2	2	2	1	2	3	3	5	2	3	2	1	1	2	1	1	3	4	1	1	3	1	4	1	2	4	1	2	2	1	3	5	5	1	10	9	0	5	1	0	10	9	0	7	1	1	7	8	0	6	1	7	2	1	9	2	1
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	305	11	1	11	1	2017	0.54751	0.5806400826813807	1	2	2	9	5	2	2	4	2	1	4	2	4	1	1	5	44	4	1	2	2	3	2	2	4	2	1	1	1	1	1	4	2	1	2	2	1	1	1	1	4	1	3	5	1	3	2	1	3	5	5	0	5	10	0	6	6	0	6	9	4	6	6	2	6	8	3	6	3	7	4	1	9	3	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	306	19	2	11	20	2017	0.93629	0.9929453398362583	2	9	9	1	5	1	2	4	1	1	2	2	10	1	1	5	44	1	2	1	2	1	2	1	4	2	1	1	1	1	1	4	1	1	3	2	1	1	1	1	4	1	3	3	1	3	1	1	1	5	5	5	2	9	0	1	0	2	8	9	0	2	0	3	8	7	0	9	5	7	5	1	9	3	1
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	307	11	1	11	10	2017	1.00652	1.0674249895352839	2	9	9	3	7	1	2	2	2	7	9	9	5	2	1	5	44	1	1	2	1	3	2	2	4	3	2	1	1	2	2	5	2	2	2	3	1	2	1	1	3	1	3	3	1	3	2	1	3	5	5	6	2	9	7	5	2	1	8	9	0	6	8	2	6	9	2	5	4	7	5	1	9	3	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	308	19	2	11	24	2017	1.67679	1.7782533364492197	1	2	2	9	4	1	2	1	2	1	2	2	77	1	1	5	44	1	2	2	1	1	2	1	3	4	1	1	2	1	2	3	2	1	3	2	1	1	7	1	3	1	3	2	1	3	1	1	4	3	5	0	6	9	0	5	0	0	6	10	0	5	0	2	7	7	0	6	2	7	4	1	9	3	1
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	309	37	1	10	22	2017	0.42187	0.44739754832020245	1	1	2	9	5	2	3	4	2	1	1	1	13	6	1	5	996	4	1	1	1	3	2	3	4	2	3	1	3	4	1	5	3	1	3	2	1	1	3	1	3	1	3	3	1	3	2	1	4	5	5	5	7	9	3	8	7	5	8	9	3	7	7	5	8	9	2	7	6	8	2	5	1	3	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	310	37	1	10	28	2017	0.87736	0.9304494583502331	2	9	9	3	7	2	1	2	2	7	9	9	6	6	1	5	44	1	1	2	2	1	2	3	2	2	1	2	8	3	1	3	2	4	1	1	1	2	3	2	2	1	2	8	1	2	2	1	2	5	5	3	10	3	1	96	2	3	10	3	2	96	2	4	8	9	3	96	98	8	2	1	9	2	1
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	311	377	1	11	28	2017	1.42792	1.5143240979386625	1	2	1	9	6	2	2	1	2	7	9	9	6	1	1	5	44	3	2	2	3	3	2	3	4	3	2	1	2	1	2	3	2	2	2	3	1	1	2	1	4	1	3	3	1	3	2	1	3	4	5	2	5	9	1	3	2	3	6	9	1	3	1	4	7	9	3	4	1	8	2	1	9	3	1
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	312	10	1	11	29	2017	1.09461	1.160845356073617	1	2	1	9	5	1	2	3	2	1	1	2	9	1	1	1	44	3	1	1	2	2	2	1	5	1	1	1	1	1	1	3	1	1	1	2	1	1	1	4	4	1	3	2	1	3	2	1	97	5	3	3	8	8	0	5	0	5	8	7	0	5	0	0	7	8	0	4	0	8	4	5	1	3	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	313	63	2	11	25	2017	0.89993	0.9543851794623932	1	2	2	9	4	2	2	1	2	2	4	2	20	3	1	5	44	2	3	2	3	1	2	2	4	3	5	5	3	1	2	5	4	1	4	3	1	4	2	5	4	1	2	2	1	2	2	1	3	5	5	3	9	6	3	4	2	2	10	8	1	8	1	3	8	8	1	98	1	8	4	5	1	2	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	314	65	1	11	26	2017	1.01129	1.0724836244358156	1	1	2	9	6	1	1	4	2	7	9	9	5	3	1	5	44	1	1	2	3	2	2	3	2	2	2	1	1	1	2	4	2	1	1	3	1	1	8	2	3	1	3	3	1	3	2	8	99	3	4	4	7	9	2	5	4	4	7	8	3	6	4	3	7	9	2	6	98	9	4	1	9	3	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	315	315	1	11	11	2017	0.34795	0.3923888706911487	2	9	9	1	6	2	2	1	2	2	1	2	19	3	1	5	44	4	2	1	1	1	2	1	4	1	1	3	1	1	1	3	1	1	4	4	1	1	2	5	4	1	3	2	1	2	2	1	3	5	5	0	7	8	1	7	1	0	9	9	0	6	1	1	8	9	1	3	98	9	5	1	9	3	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	316	19	2	11	9	2017	1.68157	1.7833225764543645	2	9	9	1	3	1	2	1	1	1	2	2	10	2	1	5	44	4	2	2	3	2	2	1	4	2	1	1	2	1	1	5	1	1	1	2	1	1	1	1	4	1	3	4	1	3	2	1	1	5	5	1	9	10	0	4	0	0	9	10	0	2	0	1	7	10	0	7	1	9	5	1	9	3	1
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	317	19	2	11	16	2017	1.53757	1.630609070023215	2	9	9	1	7	1	2	1	2	7	9	9	7	3	1	5	44	1	2	1	1	1	2	1	4	2	1	1	2	1	1	5	1	1	2	2	1	1	1	1	3	1	3	3	1	3	2	1	3	5	5	4	7	10	0	4	0	3	7	10	0	3	0	2	7	8	0	7	0	9	4	1	9	3	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	318	377	1	11	29	2017	3.77611	2.555830211799104	1	2	2	9	7	2	2	2	2	7	9	9	6	3	1	5	44	4	1	2	2	2	2	4	2	4	2	2	4	1	3	3	4	1	1	1	1	1	2	2	2	1	2	3	5	99	9	5	99	5	5	6	10	3	8	2	2	7	10	4	6	2	2	5	10	10	0	0	2	10	1	1	9	2	1
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	319	211	2	11	25	2017	4.10181	2.555830211799104	1	2	2	9	2	1	2	4	2	10	9	9	77	1	1	5	44	3	3	4	4	3	2	1	4	2	4	2	2	1	1	3	2	1	2	3	1	2	2	2	3	5	99	3	5	99	9	5	99	1	1	1	1	1	1	1	1	3	3	3	2	2	2	97	97	97	97	97	97	7	4	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	320	10	1	11	29	2017	0.51663	0.5478915196355897	2	9	9	1	5	2	2	1	2	2	2	2	19	7	1	5	44	1	3	1	1	2	2	2	4	2	2	4	3	1	1	3	2	1	3	3	1	1	1	2	3	5	99	4	1	97	2	1	97	4	4	5	5	5	0	0	0	5	5	5	0	0	0	3	7	7	97	97	97	7	2	1	9	97	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	321	211	2	11	23	2017	3.81708	2.555830211799104	2	9	9	1	6	1	2	1	2	7	9	9	77	1	1	5	44	1	2	3	4	3	2	2	4	2	3	2	1	1	1	3	2	3	2	3	1	3	2	4	3	5	99	4	5	99	9	1	1	3	3	2	2	2	2	2	2	5	5	5	5	5	5	97	97	97	97	97	97	7	4	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	322	211	2	11	27	2017	3.81708	2.555830211799104	2	9	9	1	6	1	2	1	2	7	9	9	77	4	1	5	44	1	2	3	4	1	2	1	4	2	2	1	1	1	1	3	2	3	3	3	1	3	2	5	4	5	99	3	5	99	9	1	6	2	2	2	3	3	1	3	1	3	5	4	1	2	1	2	4	5	2	6	2	7	4	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	323	315	1	11	21	2017	0.49664	0.5266919155136544	1	2	2	9	7	1	2	2	2	7	9	9	6	1	1	5	44	2	1	3	4	2	2	1	5	2	5	1	1	1	1	4	2	2	3	3	1	1	1	1	3	5	99	3	1	97	2	1	97	5	5	5	2	3	2	5	8	4	3	4	1	3	2	3	9	10	5	5	5	7	2	5	1	1	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	324	51	1	10	23	2017	1.96307	2.0818562713180357	2	9	9	1	1	2	2	4	2	6	9	9	1	4	1	5	996	1	4	2	2	2	2	4	1	5	3	2	2	4	4	1	5	5	7	4	1	4	1	1	3	5	99	4	1	5	2	5	99	3	4	5	4	0	98	8	96	7	8	5	96	8	96	4	2	9	8	98	96	8	4	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	325	11	1	10	27	2017	3.05083	2.555830211799104	1	2	2	9	2	1	2	4	2	10	9	9	3	1	1	5	44	4	1	4	4	4	2	1	4	1	3	1	1	1	3	5	1	1	1	2	1	1	1	1	4	5	99	5	5	99	9	1	98	3	3	2	3	6	0	98	2	4	5	5	1	96	98	4	5	6	0	98	98	8	5	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	326	13	1	11	21	2017	1.25754	1.3336343255376952	2	9	9	3	7	2	2	1	2	7	9	9	11	5	1	5	44	4	2	2	2	4	2	2	3	3	2	2	2	1	2	5	1	2	1	1	1	1	2	1	3	88	99	8	1	3	2	1	1	3	3	6	5	7	2	3	5	6	6	7	4	4	5	4	6	6	4	5	5	8	2	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	327	11	1	10	31	2017	2.89909	2.555830211799104	2	9	9	1	5	2	1	4	2	9	9	9	6	1	1	5	44	4	1	4	4	4	2	1	5	1	1	1	1	1	1	4	1	1	2	2	1	1	1	1	4	5	99	5	5	99	9	1	1	1	1	3	2	3	0	98	98	6	9	6	96	5	98	6	5	5	7	98	98	8	5	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	328	65	1	11	24	2017	0.589	0.6246406617218556	1	2	2	9	4	1	3	1	2	2	1	2	20	1	1	5	44	1	2	1	1	2	3	4	3	4	8	3	2	8	5	3	5	3	4	4	2	8	2	1	3	5	99	3	1	6	2	1	5	3	5	5	2	0	5	2	7	5	1	1	5	3	6	4	7	9	4	6	4	0	2	1	9	6	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	329	65	1	11	28	2017	0.93313	0.9895941267784638	2	9	9	3	7	1	2	3	2	7	9	9	6	6	1	1	44	2	1	1	1	2	3	1	3	5	5	2	1	3	5	1	5	2	1	3	2	4	2	1	2	1	1	1	1	1	2	1	5	5	5	8	1	0	5	6	8	7	1	1	2	6	7	4	9	10	5	7	98	0	2	8	9	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	330	65	1	11	23	2017	0.52977	0.561826627097432	1	2	2	9	3	2	3	1	2	2	4	8	11	1	1	5	44	4	2	2	2	2	3	1	4	3	8	1	2	3	4	2	5	4	4	4	1	3	1	1	8	1	9	8	1	4	2	1	5	4	5	5	0	0	8	1	6	5	0	0	98	98	7	3	9	10	1	5	1	1	4	5	1	9	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	331	377	1	11	24	2017	0.82345	0.8732773393800713	1	2	1	9	5	1	2	1	1	1	1	2	9	1	1	5	44	4	2	2	3	2	3	2	3	3	2	1	2	2	3	3	4	3	3	3	2	2	1	1	3	1	6	3	1	6	2	5	99	3	3	4	3	2	3	4	9	6	4	2	4	4	10	5	8	10	3	4	1	1	2	7	9	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	332	63	2	11	29	2017	0.43262	0.4587980357794723	1	2	2	9	2	1	3	4	2	1	4	2	15	1	1	5	44	4	2	2	2	2	3	4	3	5	5	4	4	3	5	3	5	5	3	3	2	3	3	1	2	1	4	3	1	1	1	1	5	5	5	8	3	0	9	4	4	8	1	0	8	3	3	3	8	10	1	5	3	1	2	1	9	4	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	333	399	2	11	15	2017	0.6478	0.6869986768479085	1	2	2	9	4	2	3	3	1	1	1	4	17	2	1	1	996	1	2	1	1	1	3	2	4	3	5	2	1	4	4	2	5	3	4	4	2	4	2	1	3	5	99	2	1	6	8	1	7	5	5	5	0	0	6	1	9	5	0	0	5	0	7	6	8	10	4	9	2	1	4	5	1	9	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	334	43	2	11	28	2017	0.37855	0.4014562351354982	1	2	1	9	3	1	3	4	2	2	1	2	7	1	1	5	44	4	1	1	1	1	3	4	3	4	4	2	2	4	4	1	5	5	4	4	1	3	2	1	3	1	6	2	1	6	2	1	5	5	5	4	0	0	7	3	8	7	0	0	10	0	10	4	10	10	3	5	2	2	2	1	9	6	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	335	43	2	11	29	2017	0.46292	0.49093150275769337	2	9	9	1	2	1	2	4	2	6	9	9	4	1	1	5	44	1	1	1	1	1	3	2	3	2	4	1	1	5	5	1	5	5	4	4	1	2	2	1	2	1	4	2	1	4	2	6	99	5	5	6	0	0	9	3	8	5	0	0	10	3	6	4	9	10	2	5	7	2	2	1	9	4	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	336	19	2	11	27	2017	0.39635	0.4203333213471264	1	2	2	9	1	1	2	4	2	6	9	9	3	1	1	5	44	4	5	2	2	1	3	2	4	8	4	1	1	4	8	2	4	8	4	4	1	2	1	1	3	1	9	8	1	9	1	6	99	5	5	4	0	0	6	0	5	6	0	0	5	0	4	4	7	10	4	8	5	2	4	1	9	9	1
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	337	51	1	10	23	2017	2.80018	2.555830211799104	1	2	2	9	2	1	2	1	2	1	2	1	16	5	2	5	44	2	2	2	2	3	3	3	5	1	3	1	1	3	5	2	5	4	3	4	1	3	1	1	2	5	99	3	5	99	9	5	99	4	4	9	6	1	5	6	3	7	5	0	3	6	3	5	7	10	2	1	1	2	4	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	338	315	1	10	22	2017	0.60826	0.645066093207022	2	9	9	2	2	1	2	4	2	6	9	9	5	1	1	1	44	1	1	3	3	4	3	1	4	1	5	1	2	4	4	3	4	2	4	4	1	3	1	1	3	5	99	3	1	1	2	1	5	5	5	3	2	1	3	0	98	2	2	2	5	2	7	2	8	10	4	7	1	2	4	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	339	399	2	11	24	2017	0.53094	0.5630674243371852	1	2	2	9	4	2	2	3	2	1	1	2	13	1	1	5	44	1	2	2	2	3	3	3	3	3	4	2	3	4	4	3	5	4	4	4	2	3	2	1	3	5	99	3	1	6	2	1	5	5	5	5	1	0	7	4	9	5	0	0	2	5	5	5	8	10	4	7	2	2	4	5	1	6	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	340	65	1	11	25	2017	0.73165	0.7759224790302135	1	2	2	9	6	2	3	3	2	7	9	9	10	2	1	5	44	1	1	1	1	2	3	4	3	4	5	4	3	3	5	2	5	3	3	4	2	3	2	1	2	1	9	2	1	6	2	1	5	5	5	7	0	0	8	2	8	9	0	0	10	4	9	4	9	9	3	7	2	3	2	5	1	4	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	341	65	1	11	28	2017	0.42935	0.4553301665709316	1	2	2	9	5	2	3	1	2	1	4	8	6	1	1	5	44	4	2	1	1	1	3	3	3	3	5	5	3	3	4	2	5	8	3	3	3	3	3	1	3	1	6	2	1	6	2	1	5	5	5	3	4	0	6	0	10	3	0	0	2	3	6	5	9	10	4	8	3	3	2	1	9	6	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	342	63	2	11	30	2017	0.90386	0.9585529855754099	1	2	2	9	4	2	3	1	1	1	1	3	20	1	1	5	44	3	4	2	2	1	3	2	4	3	4	4	2	3	3	1	4	1	4	4	1	3	2	3	3	5	99	8	1	6	2	1	1	3	2	4	2	0	4	2	6	7	3	0	3	4	6	3	7	9	2	7	3	3	1	5	1	1	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	343	65	1	11	22	2017	0.57257	0.6072164748422461	1	1	2	9	5	1	3	1	2	2	4	2	19	2	1	5	44	1	2	2	2	2	3	4	3	4	4	3	4	3	5	3	4	2	3	3	1	3	3	1	8	1	4	2	1	4	2	1	5	3	3	6	0	0	7	1	1	6	1	0	8	2	2	4	9	9	3	8	4	3	2	5	1	4	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	344	11	1	10	22	2017	0.57338	0.6080754883159213	1	2	2	9	5	2	3	4	1	1	1	4	12	1	1	5	44	4	3	1	1	2	3	1	5	2	3	1	1	1	2	3	3	3	4	4	1	3	1	1	4	1	6	5	1	6	2	1	1	5	5	1	0	0	3	3	10	5	3	0	7	6	10	7	8	10	5	6	2	3	5	5	1	6	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	345	11	1	10	24	2017	0.49848	0.5286432547624967	1	2	2	9	5	2	2	1	2	1	1	2	9	2	1	5	44	1	2	2	2	2	3	3	5	3	2	3	3	2	2	2	4	4	4	4	1	4	2	1	4	5	99	5	1	1	2	1	1	4	4	9	1	0	2	4	2	9	4	0	2	4	0	1	3	10	2	8	1	3	4	1	9	1	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	346	11	1	11	19	2017	1.01734	1.0788997127268465	2	9	9	3	7	1	1	1	2	7	9	9	5	1	1	5	44	4	2	2	2	2	3	4	4	2	2	3	3	1	2	3	5	5	3	3	1	1	1	2	2	1	1	4	1	1	2	1	1	5	5	8	5	2	5	98	98	7	8	3	96	98	98	3	7	10	1	5	98	3	2	1	9	1	1
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	347	399	2	11	13	2017	0.57971	0.6147885195361238	2	9	9	3	6	1	3	1	1	7	9	9	20	1	1	1	44	3	2	1	1	2	3	3	3	4	5	4	3	4	4	2	5	3	4	4	2	3	2	2	2	1	1	2	1	1	1	1	1	5	5	8	2	0	7	5	6	7	1	0	5	5	7	4	8	10	4	7	2	3	2	1	9	1	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	348	19	2	10	31	2017	1.84824	1.9600778550438074	2	9	9	1	6	2	2	3	2	7	9	9	6	3	2	1	44	4	1	2	2	3	3	2	4	2	4	2	3	1	1	3	1	1	4	4	1	1	1	1	2	1	1	3	5	99	9	1	1	3	3	7	1	4	3	1	4	4	4	4	3	2	3	4	9	10	1	10	5	3	2	1	9	1	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	349	399	2	11	18	2017	0.53921	0.571837845852363	2	9	9	1	5	2	3	4	2	1	4	2	17	2	1	1	44	1	1	2	2	2	3	3	3	4	4	4	3	3	3	2	4	2	3	4	1	4	2	2	2	1	1	2	1	6	2	1	1	5	5	7	2	1	6	5	8	7	1	0	2	5	5	5	8	10	4	7	3	3	2	1	9	1	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	350	399	2	11	22	2017	0.81601	0.8653871415477953	1	2	1	9	4	2	2	1	1	1	1	2	20	2	1	1	996	3	3	2	2	2	3	2	3	4	4	2	2	4	3	3	4	3	3	4	2	3	2	1	3	5	99	3	1	6	2	5	99	5	5	5	3	0	7	5	9	4	1	0	5	5	5	5	8	9	4	7	2	3	2	5	1	6	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	351	11	1	11	23	2017	0.41774	0.4430176401149202	1	2	2	9	4	2	2	1	2	1	1	3	13	1	1	5	44	4	2	2	3	3	3	4	4	4	4	3	1	3	3	2	5	5	4	4	1	2	2	1	2	1	1	2	1	1	2	1	1	5	5	9	1	0	6	6	6	9	1	0	6	7	6	3	8	10	4	5	3	3	1	1	9	1	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	352	11	1	11	29	2017	0.43727	0.4637294094246448	1	2	2	9	2	1	2	4	2	6	9	9	4	1	1	5	44	4	2	2	2	2	3	3	4	3	4	4	3	3	3	2	4	4	4	4	1	2	2	1	2	1	9	4	1	6	2	1	5	5	5	0	0	0	5	6	8	0	0	0	7	6	8	6	8	10	4	6	3	3	2	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	353	19	2	11	16	2017	0.32263	0.3923888706911487	1	2	2	9	1	2	2	4	2	6	9	9	4	2	1	1	44	3	1	1	1	1	3	2	4	4	4	1	1	3	5	2	5	5	4	4	2	1	2	1	2	1	4	8	1	4	1	5	99	5	5	7	2	0	10	0	3	7	3	0	9	2	4	3	7	10	3	7	5	3	2	1	9	4	1
