version	doi	A1	A2	A3	A4a	A4b	A4c	A5a	A5b	C01	C02	C03	C04	age	D02	D03	D04	D05	D06	D07a	D08	D09	D11	D14	D15	D16	D19	D20	Q01	Q02	Q03	Q04a	Q04b	Q04c	Q04d	Q04e	Q04f	Q04g	Q05a	Q05b	Q05c	Q05d	Q05e	Q06a	Q06b	Q06c	Q06d	Q07	Q08	Q09	Q10a	Q10b	Q11	Q12LH_a	Q12LH_b	Q12LH_d	Q13a	Q13b	Q14a	Q14b	Q15a	Q15b	Q15c	Q15d	Q15e	Q15f	Q16a	Q16b	Q16c	Q16d	Q16e	Q16f	Q17a	Q17b	Q17c	Q17d	Q17e	Q17f	Q18	Q21	Q22a	Q22b	Q22c	Q22d
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	19	37	1	11	3	2017	0.24716	0.3923888706911487	1	2	1	9	3	1	3	4	2	1	1	2	77	2	1	5	44	3	2	2	2	1	1	1	2	1	5	1	1	3	3	2	5	3	4	4	2	2	1	3	3	1	10	3	1	10	2	1	8	1	3	6	0	0	5	8	5	8	0	0	7	9	8	3	6	9	3	5	4	4	4	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	20	315	1	10	23	2017	0.25902	0.3923888706911487	2	9	9	1	6	2	2	3	2	1	4	2	13	2	1	1	44	1	1	4	3	1	1	1	2	1	2	1	2	2	1	2	4	4	4	4	1	1	1	2	3	1	2	3	1	2	2	1	2	2	3	5	8	5	6	7	8	2	8	4	2	4	6	1	7	8	1	5	5	4	4	1	9	2	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	21	315	1	11	16	2017	1.21277	1.286155272184066	2	9	9	3	7	1	2	1	2	1	3	2	16	4	1	5	44	1	3	2	1	1	1	1	5	1	2	4	4	1	1	5	4	1	2	4	1	3	2	1	8	1	2	3	1	2	2	1	2	5	5	3	5	3	1	2	1	2	7	2	1	2	1	1	4	10	3	3	1	4	5	5	1	2	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	22	315	1	11	16	2017	1.04026	1.1032066125004711	1	2	2	9	6	2	2	3	2	7	9	9	5	6	1	1	44	1	1	4	3	4	1	1	5	2	1	2	1	1	1	4	5	1	4	4	1	1	1	1	4	5	99	3	1	1	2	1	1	5	5	4	2	1	4	1	1	4	9	1	2	4	1	4	8	10	5	5	1	4	5	1	9	1	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	23	315	1	11	21	2017	0.60692	0.6436450091888432	1	2	2	9	2	1	2	4	2	10	9	9	77	4	1	1	44	4	4	1	1	1	1	5	2	4	1	5	3	3	7	3	5	5	4	4	1	7	4	1	3	5	99	3	1	5	2	6	99	5	5	5	4	1	8	8	9	5	5	0	8	8	8	4	9	10	3	4	3	4	2	1	9	5	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	24	315	1	11	21	2017	1.04969	1.113207226150789	1	2	2	9	5	2	2	1	1	1	1	1	17	1	2	1	996	1	3	3	4	1	1	1	4	5	5	1	1	3	7	8	4	4	4	4	2	3	7	2	7	1	1	3	1	1	8	5	99	5	3	9	4	0	8	7	98	8	7	0	8	5	1	3	7	8	3	4	3	4	1	1	9	1	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	25	315	1	11	4	2017	0.63893	0.6775919490559342	2	9	9	1	6	2	2	1	2	7	9	9	14	1	1	1	44	4	2	4	4	1	1	4	4	2	5	1	4	1	4	4	4	4	4	4	1	4	4	1	2	1	98	3	1	1	2	1	2	5	5	6	5	1	7	6	97	7	6	1	6	7	2	5	8	10	5	5	3	4	1	5	1	1	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	26	315	1	11	22	2017	0.39985	0.42404510796177247	2	9	9	1	6	1	2	1	2	1	1	3	20	1	1	5	44	1	2	2	3	1	1	5	2	5	5	5	3	3	2	1	5	4	4	4	1	4	3	5	3	5	99	2	1	2	2	1	1	5	5	8	7	1	3	6	8	1	9	0	1	4	7	3	9	10	2	8	6	4	2	5	1	2	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	27	3	1	11	25	2017	0.78036	0.8275799436014725	2	9	9	3	7	1	3	1	2	7	9	9	20	1	2	1	44	4	3	1	1	1	1	2	3	2	2	1	2	1	1	2	3	1	4	4	1	1	3	1	3	5	99	3	1	2	2	1	1	5	5	6	9	4	0	4	4	6	9	3	2	5	5	3	10	10	5	5	5	5	1	5	1	2	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	28	65	1	11	24	2017	1.86299	1.9757203843483868	1	2	2	9	4	2	2	3	1	1	2	2	8	3	1	5	44	2	3	3	3	1	1	2	4	2	5	5	1	1	4	4	4	4	1	4	1	1	2	1	8	5	99	1	1	5	2	1	98	5	4	5	6	4	2	10	6	0	5	3	3	7	4	5	7	8	5	4	4	5	2	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	29	3	1	11	27	2017	0.67894	0.7200229726136446	2	9	9	1	5	1	1	1	2	1	2	2	17	2	1	5	44	1	4	2	3	1	1	1	4	1	1	1	1	1	1	5	1	1	1	2	1	1	2	1	4	5	99	3	1	97	2	1	97	4	3	5	5	1	1	8	1	1	5	5	1	1	1	5	5	6	3	1	3	5	2	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	30	3	1	11	28	2017	0.27604	0.3923888706911487	1	1	2	9	2	1	2	4	2	3	1	2	88	1	2	1	996	2	2	2	2	1	1	4	4	4	1	1	3	1	1	2	5	8	3	4	1	2	3	2	2	1	2	4	1	2	2	1	2	4	5	7	9	0	3	7	0	5	8	0	96	5	3	3	5	10	3	5	2	5	2	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	31	12	2	11	20	2017	0.54208	0.5748815108763727	1	2	2	9	5	1	2	4	2	1	4	2	15	1	1	5	44	4	1	2	2	1	1	1	4	1	2	2	1	2	2	4	1	1	2	2	1	2	2	3	4	1	6	3	1	6	2	1	1	3	4	5	3	3	4	4	7	4	3	3	7	3	7	4	7	7	4	7	4	5	2	1	9	6	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	32	315	1	10	27	2017	0.55654	0.5902164921471674	1	2	2	9	7	2	2	3	2	7	9	9	9	3	2	1	44	3	1	4	4	2	1	1	5	1	3	5	1	1	1	5	1	1	4	3	1	1	2	4	8	5	99	3	1	2	2	5	99	3	4	5	5	4	1	5	1	2	9	5	1	2	1	1	6	10	98	98	1	5	8	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	33	315	1	10	28	2017	1.90048	2.015478921543552	1	2	2	9	2	1	2	4	2	1	2	2	77	1	1	5	44	1	5	3	4	3	1	1	5	1	8	1	1	1	1	5	1	1	2	4	1	1	2	1	4	5	99	4	1	3	2	5	99	3	4	2	6	6	0	98	98	1	5	5	0	98	98	2	5	10	98	98	98	5	8	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	34	10	1	11	30	2017	0.44612	0.4731149270073926	1	2	2	9	5	1	3	3	1	1	1	1	15	1	1	1	44	3	1	3	3	2	1	1	3	3	3	3	2	2	2	3	2	2	3	2	1	1	2	2	3	5	99	4	1	1	1	1	2	4	4	3	3	4	0	0	0	4	3	4	0	0	0	0	5	10	97	97	97	5	2	5	8	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	35	315	1	11	12	2017	1.30539	1.3843797511122125	1	2	2	9	7	2	2	1	2	7	9	9	18	2	1	5	44	3	2	4	4	3	1	1	3	1	1	4	1	1	1	3	2	2	4	4	1	2	2	2	7	5	99	2	1	1	2	1	1	5	5	5	5	8	5	5	5	5	2	2	5	2	2	5	9	10	4	7	1	5	4	5	1	1	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	36	377	1	11	28	2017	1.21277	1.286155272184066	2	9	9	1	7	1	2	1	2	2	4	2	18	1	1	5	44	2	3	1	1	1	1	2	3	1	2	3	3	1	3	3	1	3	2	2	1	1	3	2	4	1	2	2	1	2	1	1	2	5	5	0	8	5	0	5	5	0	8	5	0	5	5	0	5	5	0	7	5	5	4	1	9	2	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	37	61	1	11	25	2017	0.89052	0.944405776021302	1	2	2	9	3	2	3	1	2	2	1	2	14	2	2	1	996	1	3	3	2	3	1	1	3	1	4	3	8	1	2	1	3	3	3	3	1	3	1	1	3	5	99	2	1	3	1	6	99	5	5	4	6	6	5	1	96	6	6	6	96	96	96	1	5	7	4	3	96	5	2	5	1	3	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	38	315	1	10	23	2017	0.78692	0.8345368922277803	2	9	9	1	4	2	3	1	1	1	1	1	17	4	1	5	44	1	4	3	3	2	1	1	5	2	2	5	2	2	1	2	5	4	4	4	1	3	3	2	2	1	1	3	1	1	8	5	99	3	3	8	5	2	4	6	4	8	8	1	6	6	5	3	7	8	4	5	2	5	2	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	39	315	1	11	15	2017	0.61995	0.6574634604999395	1	1	2	9	6	2	1	1	2	7	9	9	8	3	1	5	44	1	2	4	4	5	1	1	4	5	5	1	1	1	3	5	1	1	2	2	1	1	2	1	7	5	99	2	1	97	2	1	1	5	5	5	5	5	0	2	5	4	9	97	0	7	7	5	5	10	0	2	98	5	1	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	40	315	1	10	23	2017	3.86532	2.555830211799104	2	9	9	1	4	2	2	1	2	2	1	2	13	3	1	5	44	1	2	3	3	1	1	2	3	2	5	4	5	1	1	8	3	1	2	4	1	1	4	1	3	1	2	2	5	99	9	1	2	3	4	4	7	4	4	2	97	2	7	4	4	7	0	3	6	9	3	6	3	5	2	1	9	2	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	41	315	1	11	27	2017	0.94593	1.003168660683455	2	9	9	1	5	2	2	1	2	2	1	2	16	4	1	5	44	1	2	3	3	1	1	2	5	1	2	3	2	2	2	2	3	2	4	3	1	3	1	4	4	5	99	3	1	2	2	1	2	5	5	5	5	5	5	5	5	3	6	5	5	5	2	5	5	10	5	5	5	5	8	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	42	315	1	11	27	2017	1.90725	2.0226585773667387	1	2	2	9	2	1	2	4	1	6	9	9	10	2	1	1	44	2	2	3	4	3	1	4	2	5	7	1	7	4	3	7	5	3	4	4	1	3	1	1	7	5	99	7	1	6	2	5	99	3	5	6	3	2	8	4	8	1	3	1	2	7	9	4	8	9	4	8	5	5	8	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	43	315	1	10	31	2017	0.60497	0.6415770137892547	2	9	9	1	6	2	2	1	2	7	9	9	18	2	1	5	44	4	2	4	4	4	1	1	5	1	8	4	1	1	1	8	2	1	3	1	1	1	1	2	3	5	99	8	1	2	2	1	1	7	2	2	2	2	2	2	2	4	7	2	2	5	3	3	5	8	98	2	98	5	8	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	44	63	2	11	28	2017	0.30117	0.3923888706911487	1	2	1	9	2	2	2	1	2	3	4	2	15	3	2	1	996	3	2	3	3	4	1	2	4	2	4	1	1	1	1	2	4	3	4	4	1	1	2	2	7	77	99	3	1	1	2	6	99	5	5	6	2	1	8	3	98	7	2	2	9	98	1	5	7	10	5	5	5	5	1	5	5	99	9
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	45	19	2	11	28	2017	1.1688	1.239524627199499	2	9	9	1	4	2	2	1	2	2	1	2	77	3	1	5	44	3	4	2	2	1	1	2	4	2	1	1	2	1	1	1	1	1	3	3	1	1	8	1	3	5	99	3	1	3	2	1	1	4	3	2	98	7	0	0	98	3	4	7	98	3	98	3	8	8	0	98	4	5	4	5	1	3	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	46	63	2	11	28	2017	0.6533	0.6928314843852094	1	2	2	9	5	1	2	1	2	1	1	3	19	1	1	5	44	1	3	1	1	1	1	4	4	1	1	4	1	1	1	2	1	1	4	4	1	1	1	1	4	1	3	2	1	3	2	1	2	5	5	3	6	9	1	8	3	4	8	7	0	5	3	4	7	8	1	4	1	5	4	1	9	3	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	47	315	1	10	25	2017	1.20455	1.2774378761919545	2	9	9	1	4	2	2	4	1	1	1	1	12	3	1	5	44	1	3	4	3	2	1	1	2	3	8	2	1	3	1	4	3	2	4	4	1	2	2	2	8	5	99	3	1	1	2	5	99	5	5	5	5	7	5	5	98	4	9	2	1	6	2	2	98	7	2	98	98	5	1	5	1	1	3
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	48	62	1	11	28	2017	0.85747	0.9093559052744304	1	2	2	9	6	1	2	1	1	1	1	1	14	1	1	5	44	4	2	2	2	2	1	4	2	4	4	3	4	4	4	2	5	2	4	4	1	4	3	2	3	1	1	3	1	1	2	1	5	5	5	4	3	1	3	2	1	8	5	2	2	2	4	4	7	97	3	7	2	5	2	1	9	1	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	49	11	1	10	27	2017	0.78845	0.8361594732336114	2	9	9	1	5	2	2	1	2	1	3	2	6	2	1	5	44	1	2	1	1	2	1	1	5	1	1	1	1	1	3	3	3	2	1	4	1	3	1	1	4	1	3	3	1	3	2	1	3	5	5	2	3	8	1	98	2	1	4	7	2	6	1	2	6	8	98	4	1	5	5	1	9	3	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	50	315	1	10	27	2017	1.41778	1.5035705218608022	1	2	2	9	7	2	1	1	2	7	9	9	7	3	1	5	44	1	2	3	3	3	1	1	5	1	8	5	1	1	1	4	2	2	1	4	1	1	2	1	3	1	1	8	1	1	2	1	1	4	4	7	5	2	2	3	3	3	5	2	1	3	3	5	5	97	98	98	98	5	1	1	9	1	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	51	11	1	11	23	2017	1.93245	2.04938344099219	1	1	1	9	3	2	2	1	2	8	9	9	9	6	1	5	44	1	3	2	2	3	1	2	4	3	3	4	1	2	2	3	4	4	3	3	1	3	2	1	2	1	2	3	1	2	2	1	2	5	5	5	9	4	5	6	5	4	9	3	5	6	5	3	5	8	4	4	4	5	2	1	9	2	2
"1.1 (2019-09-12)"	"doi:10.11587/W193UZ"	52	11	1	10	29	2017	0.94747	1.0048018467938993	1	2	2	9	7	2	2	1	2	7	9	9	6	3	1	5	44	1	2	2	2	2	1	1	5	1	2	1	1	2	1	2	3	3	4	4	1	1	1	1	4	1	6	5	1	6	2	1	5	5	5	2	2	0	2	2	10	2	2	0	3	96	10	8	8	10	98	8	2	5	5	1	9	6	3
