mission 	 mjd 	 fraction 	 error 
NICER 	21.077002314814308	0.020944389891232554	0.02605622340063482
NICER 	26.729357638883812	0.04788941307080615	0.039355327375221634
NICER 	37.42394675925607	0.007536526524593129	0.025386061059151394
NICER 	48.7719189814743	0.26814070929912437	0.047188194586434286
NICER 	59.50760185184481	0.298923770795671	0.05539785659555567
NICER 	75.29687152777478	0.49952962779857335	0.10893825772913078
NICER 	80.75509837962454	0.35154591527198453	0.09668539357006664
NICER 	90.67228240740224	0.26073881093632745	0.04218315395331479
NICER 	174.7954907407402	0.495129564216781	0.07131276505421556
NICER 	233.43951967592147	0.6385289732119904	0.07899098090233397
NICER 	238.62592129629047	0.6598366365263993	0.0742229804840275
NICER 	246.62264467592468	0.6343095742562298	0.05606402506848899
NICER 	268.097184027778	0.6582102700111235	0.08110831746598694
NICER 	292.41406365740113	0.8566010063591789	0.10751846259959602
NICER 	298.37648032407014	0.7690842772881575	0.08572147035639881
NICER 	308.6712233796279	0.5931392652498036	0.06218804461950119
NICER 	312.4949189814797	0.5542311603208676	0.06520974624509739
NICER 	316.009368055551	0.8012389511637562	0.12076037330142447
NICER 	317.9851724537002	0.6013966284216037	0.07615580226724901
NICER 	319.5620902777737	0.5980772736664277	0.07096646444205072
NICER 	326.4984849536995	0.7750906091394577	0.09290184149034376
NICER 	341.0728715277728	0.6055375153577501	0.04195864498471282
NICER 	352.1206307870307	0.7285477166514396	0.12091710797021762
NICER 	370.7897696759246	0.6882014524191268	0.14599622782186913
NICER 	388.854263888883	0.7409160742531954	0.07083991138249392
NICER 	410.3402337962907	0.6124382448582663	0.051208423565793686
NICER 	414.0812303240673	0.734286409071711	0.11860559916845931
NICER 	421.19125578703097	0.8303511516746848	0.15467183142725713
NICER 	452.23611458332743	0.8122772420729472	0.10936829787262653
NICER 	471.738020833327	0.7541813483307378	0.13902950044001083
SWIFT 	45.2699999999968	0.19	0.1
SWIFT 	110.7699999999968	0.52	0.2
SWIFT 	347.7699999999968	0.57	0.05
XMM 	91.7699999999968	0.16	0.05
XMM 	413.7699999999968	0.88	0.1
