Time	source_rate (Background-subtracted)	error_on_source_rate	Background_rate	Error_on_background_rate
660774770.57613	0.5886647572582928	0.058309518948453	0.01633524274170714	0.019364916731037084
660774970.57613	0.594308692527171	0.05958187643906493	0.020691307472829046	0.02179449471770337
660775170.57613	0.49866475725829285	0.054313902456001074	0.01633524274170714	0.019364916731037084
660775370.57613	0.5619318058066343	0.05634713834792322	0.013068194193365712	0.017320508075688773
660775570.57613	0.4758427896238538	0.052678268764263694	0.014157210376146189	0.018027756377319945
660775770.57613	0.5519318058066343	0.05590169943749474	0.013068194193365712	0.017320508075688773
660775970.57613	0.6097537734410733	0.058949130612757986	0.015246226558926665	0.01870828693386971
660776170.57613	0.55713066016161	0.05852349955359812	0.022869339838389995	0.0229128784747792
660776370.57613	0.5097537734410733	0.05454356057317857	0.015246226558926665	0.01870828693386971
660776570.57613	0.6188636116132686	0.06184658438426491	0.026136388386731425	0.02449489742783178
660776770.57613	0.6251988543549757	0.058309518948453	0.009801145645024285	0.015
660776970.57613	0.5008427896238539	0.053851648071345036	0.014157210376146189	0.018027756377319945
660777170.57613	0.5947537734410733	0.058309518948453	0.015246226558926665	0.01870828693386971
660777370.57613	0.6103977087099515	0.060000000000000005	0.01960229129004857	0.021213203435596423
660777570.57613	0.5286647572582929	0.055677643628300216	0.01633524274170714	0.019364916731037084
660777770.57613	0.5551988543549756	0.055226805085936304	0.009801145645024285	0.015
660777970.57613	0.5491098381721953	0.05522680508593631	0.010890161827804761	0.0158113883008419
660778170.57613	0.5180208219894148	0.05408326913195984	0.011979178010585236	0.016583123951777
660778370.57613	0.5125757410755124	0.05522680508593631	0.017424258924487616	0.02
660778570.57613	0.5019318058066343	0.053619026473818034	0.013068194193365712	0.017320508075688773
660778770.57613	0.6525757410755124	0.06123724356957945	0.017424258924487616	0.02
660778970.57613	0.5610416439788295	0.05894913061275798	0.02395835602117047	0.02345207879911715
660779170.57613	0.5701988543549756	0.055901699437494734	0.009801145645024285	0.015
660779370.57613	0.5247537734410733	0.055226805085936304	0.015246226558926665	0.01870828693386971
660779570.57613	0.5741098381721952	0.05634713834792323	0.010890161827804761	0.0158113883008419
660779770.57613	0.5386647572582929	0.05612486080160912	0.01633524274170714	0.019364916731037084
660779970.57613	0.5097537734410733	0.05454356057317857	0.015246226558926665	0.01870828693386971
660780170.57613	0.519308692527171	0.05634713834792323	0.020691307472829046	0.02179449471770337
660780370.57613	0.49430869252717097	0.055226805085936304	0.020691307472829046	0.02179449471770337
660780570.57613	0.5380208219894148	0.055	0.011979178010585236	0.016583123951777
660780770.57613	0.5886647572582928	0.058309518948453	0.01633524274170714	0.019364916731037084
660780970.57613	0.5297537734410733	0.05545268253204708	0.015246226558926665	0.01870828693386971
660781170.57613	0.5608427896238538	0.0565685424949238	0.014157210376146189	0.018027756377319945
660781370.57613	0.6155965630649272	0.06244997998398398	0.029403436935072854	0.02598076211353316
660781570.57613	0.5010416439788296	0.05634713834792322	0.02395835602117047	0.02345207879911715
660781770.57613	0.6597537734410733	0.06103277807866851	0.015246226558926665	0.01870828693386971
660781970.57613	0.5964867248927319	0.05916079783099616	0.018513275107268093	0.0206155281280883
