MJD time_since_peak L_ergs eL_ergs R_cm eR_cm T_K eT_K 
58383.693999999996	14.494	44.77	0.13	14.65	0.05	4.65	0.06
58390.054	20.494	44.64	0.1	14.62	0.04	4.63	0.05
58393.234	23.494	44.57	0.09	14.61	0.04	4.62	0.04
58395.344	25.494	44.53	0.08	14.6	0.04	4.62	0.04
58396.404	26.494	44.5	0.08	14.6	0.04	4.62	0.04
58397.464	27.494	44.48	0.07	14.59	0.03	4.61	0.03
58398.524	28.494	44.46	0.07	14.59	0.03	4.61	0.03
58399.584	29.494	44.44	0.07	14.58	0.03	4.61	0.03
58401.704	31.494	44.39	0.06	14.57	0.03	4.6	0.03
58403.824	33.494	44.35	0.05	14.57	0.03	4.59	0.03
58404.873999999996	34.494	44.33	0.05	14.56	0.03	4.59	0.03
58405.934	35.494	44.33	0.05	14.57	0.03	4.58	0.02
58408.054	37.494	44.32	0.05	14.58	0.02	4.58	0.02
58410.174	39.494	44.31	0.04	14.59	0.02	4.57	0.02
58412.294	41.494	44.31	0.04	14.6	0.02	4.57	0.02
58413.354	42.494	44.31	0.04	14.6	0.02	4.56	0.02
58414.414	43.494	44.3	0.04	14.61	0.02	4.56	0.02
58416.524	45.494	44.3	0.05	14.62	0.03	4.55	0.02
58417.584	46.494	44.29	0.05	14.62	0.03	4.55	0.02
58418.644	47.494	44.29	0.05	14.63	0.03	4.55	0.03
58419.704	48.494	44.29	0.05	14.63	0.03	4.54	0.03
58421.824	50.494	44.28	0.05	14.64	0.03	4.54	0.03
58423.943999999996	52.494	44.28	0.06	14.65	0.03	4.53	0.03
58425.004	53.494	44.28	0.06	14.66	0.04	4.53	0.03
58426.054	54.494	44.27	0.06	14.67	0.04	4.52	0.03
58427.114	55.494	44.27	0.06	14.66	0.04	4.52	0.03
58429.234	57.494	44.27	0.06	14.66	0.03	4.53	0.03
58430.294	58.494	44.27	0.05	14.65	0.03	4.53	0.03
58431.354	59.494	44.26	0.05	14.65	0.03	4.53	0.03
58434.534	62.494	44.26	0.05	14.65	0.03	4.53	0.03
58438.763999999996	66.494	44.26	0.04	14.64	0.03	4.53	0.02
58440.884	68.494	44.25	0.04	14.64	0.03	4.53	0.02
58443.004	70.494	44.25	0.04	14.63	0.03	4.53	0.02
58445.123999999996	72.494	44.25	0.05	14.63	0.03	4.54	0.02
58448.294	75.494	44.23	0.05	14.62	0.03	4.54	0.03
58449.354	76.494	44.22	0.05	14.61	0.03	4.54	0.03
58451.474	78.494	44.2	0.05	14.6	0.03	4.54	0.03
58455.714	82.494	44.17	0.06	14.58	0.04	4.54	0.03
58459.943999999996	86.494	44.13	0.07	14.56	0.04	4.54	0.04
58464.184	90.494	44.1	0.08	14.54	0.05	4.54	0.04
58467.364	93.494	44.07	0.09	14.52	0.05	4.55	0.05
58470.534	96.494	44.05	0.09	14.5	0.05	4.55	0.05
58473.714	99.494	44.03	0.08	14.47	0.05	4.56	0.04
58475.834	101.494	44.02	0.08	14.45	0.04	4.57	0.04
58480.064	105.494	44.0	0.08	14.41	0.04	4.58	0.04
58482.184	107.494	43.99	0.08	14.39	0.04	4.59	0.04
58485.364	110.494	43.98	0.08	14.36	0.04	4.6	0.04
58491.714	116.494	43.99	0.09	14.33	0.06	4.62	0.05
58562.674	183.494	43.98	0.12	14.61	0.11	4.48	0.08
58573.263999999996	193.494	43.84	0.08	14.44	0.06	4.53	0.05
58576.434	196.494	43.83	0.07	14.4	0.05	4.54	0.04
58577.494	197.494	43.83	0.07	14.39	0.05	4.55	0.04
58579.614	199.494	43.83	0.07	14.37	0.05	4.56	0.04
58581.734	201.494	43.84	0.08	14.35	0.05	4.57	0.04
58584.904	204.494	43.84	0.09	14.33	0.05	4.58	0.05
58588.084	207.494	43.85	0.1	14.3	0.06	4.6	0.06
58591.263999999996	210.494	43.85	0.12	14.27	0.07	4.61	0.07
58594.443999999996	213.494	43.86	0.15	14.24	0.08	4.63	0.08
58597.614	216.494	43.83	0.14	14.25	0.08	4.62	0.08
58601.854	220.494	43.76	0.12	14.28	0.08	4.59	0.07
58610.324	228.494	43.67	0.09	14.32	0.07	4.54	0.06
58616.674	234.494	43.6	0.08	14.36	0.07	4.51	0.05
58617.734	235.494	43.59	0.08	14.36	0.07	4.5	0.05
58621.974	239.494	43.57	0.07	14.41	0.07	4.47	0.05
58628.324	245.494	43.55	0.07	14.47	0.09	4.44	0.06
58632.564	249.494	43.54	0.06	14.51	0.1	4.42	0.06
58634.684	251.494	43.54	0.07	14.53	0.1	4.4	0.07
58637.854	254.494	43.52	0.07	14.57	0.11	4.38	0.07
58643.154	259.494	43.56	0.07	14.5	0.1	4.42	0.06
58652.684	268.494	43.63	0.07	14.38	0.07	4.5	0.05
58659.034	274.494	43.68	0.08	14.31	0.05	4.55	0.05
58662.214	277.494	43.72	0.08	14.28	0.05	4.58	0.05
58667.513999999996	282.494	43.8	0.09	14.23	0.05	4.63	0.05
58670.684	285.494	43.85	0.1	14.2	0.05	4.65	0.05
58671.744	286.494	43.86	0.1	14.19	0.05	4.66	0.05
58672.804	287.494	43.88	0.11	14.18	0.05	4.67	0.05
