# UVOT photometry at full time resolution, using 7.0" aperture
# host-subtracted AB magnitudes, not corrected for Galactic extinction
# total counts/s as based on "CORR_RATE" from uvotsource and thus include the host contribution
# only including observations with SNR>0.5 and positive host-subtracted flux
# 
filter  MJD          ab_mag ab_mag_err count_rate count_rate_err exposure
UVW2   58591.431174    18.42     0.07    1.926    0.106    369.257 
UVW2   58591.569972    18.30     0.12    2.144    0.234     82.962 
UVW2   58591.613833    18.41     0.05    1.939    0.071    838.058 
UVW2   58591.685717    18.47     0.06    1.848    0.077    659.190 
UVW2   58591.757240    18.38     0.06    2.008    0.088    542.109 
UVW2   58591.813963    18.41     0.05    1.948    0.062   1170.286 
UVW2   58591.874990    18.44     0.07    1.898    0.103    357.866 
UVW2   58591.948191    18.53     0.05    1.754    0.065    899.888 
UVW2   58592.153728    18.38     0.05    1.994    0.075    764.282 
UVW2   58594.741305    18.73     0.09    1.461    0.109    254.696 
UVW2   58597.195157    18.73     0.09    1.457    0.113    246.823 
UVW2   58597.726701    18.36     0.07    2.037    0.117    291.095 
UVW2   58599.327040    18.63     0.09    1.603    0.126    209.414 
UVW2   58601.772164    18.36     0.07    2.034    0.116    290.128 
UVW2   58609.015170    18.22     0.08    2.301    0.144    209.414 
UVW2   58611.537979    18.26     0.09    2.220    0.161    165.121 
UVW2   58617.713666    18.34     0.07    2.070    0.114    312.856 
UVW2   58620.306273    18.58     0.11    1.668    0.161    137.550 
UVW2   58621.298250    18.46     0.13    1.854    0.210     79.487 
UVW2   58621.963480    18.49     0.11    1.812    0.170    126.734 
UVW2   58623.230929    18.53     0.10    1.745    0.143    179.889 
UVW2   58626.948075    18.51     0.09    1.780    0.142    189.738 
UVW2   58629.811526    18.19     0.09    2.377    0.178    150.363 
UVW2   58629.875890    18.38     0.09    1.993    0.160    159.224 
UVW2   58632.983344    18.32     0.07    2.113    0.110    347.214 
UVW2   58635.708475    18.10     0.06    2.573    0.125    320.609 
UVW2   58638.028352    18.29     0.10    2.177    0.188    111.966 
UVW2   58638.160965    18.15     0.08    2.468    0.173    151.341 
UVW2   58643.546081    18.52     0.07    1.767    0.100    349.168 
UVW2   58650.842736    18.32     0.13    2.119    0.251     60.799 
UVW2   58651.326403    18.42     0.11    1.925    0.181    123.781 
UVW2   58651.512831    18.58     0.09    1.664    0.130    190.715 
UVW2   58653.430774    18.30     0.07    2.152    0.125    256.661 
