UVW1   58383.72393 16.54 0.04 
UVW1   58389.94528 16.57 0.06 
UVW1   58393.11716 16.72 0.07 
UVW1   58395.45406 16.76 0.06 
UVW1   58396.24735 16.85 0.07 
UVW1   58397.91138 16.87 0.04 
UVW1   58398.97601 16.95 0.07 
UVW1   58399.73928 17.01 0.04 
UVW1   58401.08269 16.99 0.07 
UVW1   58403.74630 17.05 0.08 
UVW1   58404.53728 17.14 0.05 
UVW1   58406.13100 17.15 0.07 
UVW1   58408.45239 17.07 0.08 
UVW1   58409.98534 17.16 0.06 
UVW1   58412.37216 17.14 0.08 
UVW1   58413.90078 17.07 0.05 
UVW1   58415.96092 17.14 0.07 
UVW1   58416.16653 17.10 0.08 
UVW1   58417.36138 17.01 0.08 
UVW1   58417.85743 17.14 0.05 
UVW1   58418.63123 17.11 0.08 
UVW1   58420.15207 17.01 0.07 
UVW1   58421.87760 17.05 0.04 
UVW1   58423.53715 17.13 0.07 
UVW1   58425.03410 17.04 0.04 
UVW1   58426.52471 17.00 0.08 
UVW1   58427.32020 16.97 0.07 
UVW1   58428.84678 17.14 0.07 
UVW1   58429.94738 16.93 0.05 
UVW1   58430.04543 17.01 0.07
UVW1   58431.50522 17.02 0.07 
UVW1   58434.95507 17.09 0.08 
UVW1   58439.07236 17.03 0.08 
UVW1   58440.00163 16.88 0.07 
UVW1   58443.26143 17.03 0.07 
UVW1   58445.32926 17.07 0.07 
UVW1   58447.97104 17.14 0.08 
UVW1   58449.03070 17.27 0.10 
UVW1   58451.36150 17.40 0.08 
UVW1   58455.54936 17.36 0.08 
UVW1   58459.99244 17.64 0.10 
UVW1   58464.64889 17.58 0.08 
UVW1   58467.76702 17.64 0.07 
UVW1   58470.42689 17.72 0.08 
UVW1   58473.87962 17.57 0.07 
UVW1   58475.93635 17.81 0.09 
UVW1   58479.91862 17.85 0.09 
UVW1   58482.04655 18.11 0.10 
UVW1   58485.22945 18.28 0.11 
UVW1   58491.93640 18.40 0.13 
UVW1   58562.79114 17.52 0.07 
UVW1   58573.28419 18.05 0.09 
UVW1   58576.33791 18.29 0.11 
UVW1   58582.11737 18.44 0.13 
UVW1   58585.23937 18.20 0.10 
UVW1   58588.02552 18.00 0.10 
UVW1   58591.35585 18.38 0.11 
UVW1   58594.73753 18.70 0.13 
UVW1   58597.19151 18.72 0.12
UVW1   58597.73368 18.69 0.09
UVW1   58599.33209 19.01 0.14
UVW1   58601.77900 18.58 0.10 
UVW1   58609.020258    18.54     0.10    1.602    0.129    217.754 
UVW1   58611.542034    18.62     0.12    1.496    0.139    175.502 
UVW1   58617.72077 18.35 0.11 
UVW1   58620.309617    18.69     0.15    1.413    0.165    137.876 
UVW1   58623.235167    18.62     0.13    1.501    0.157    162.243 
UVW1   58626.952163    18.49     0.14    1.665    0.196    106.396 
UVW1   58629.815135    18.58     0.14    1.554    0.171    144.282 
UVW1   58632.99167 18.57 0.09 
UVW1   58638.09803 18.33 0.07 
UVW1   58650.84453 18.88 0.17 
UVW1   58653.47282 18.47 0.06 
UVW1   58658.68772 18.66 0.09 
UVW1   58662.08205 18.49 0.11 
UVW1   58666.780413    18.77     0.13    1.320    0.131    144.141 
UVW1   58668.845309    19.08     0.20    1.030    0.157     90.900 
UVW1   58670.40585 19.64 0.16 
UVW1   58672.85509 18.43 0.06 
UVW1   58673.490110    18.47     0.09    1.698    0.114    266.727 
UVW1   58675.51656 18.30 0.06 
UVW1   58676.015314    18.46     0.09    1.717    0.119    232.044 
UVW1   58678.84790 18.58 0.07 
UVW1   58679.204915    18.73     0.10    1.363    0.110    228.765 
UVW1   58681.61764 18.73 0.07 
UVW1   58682.193112    19.03     0.12    1.075    0.099    228.450 
UVW1   58684.12139 19.24 0.13 
UVW1   58690.751600    18.93     0.11    1.161    0.094    270.430 
UVW1   58691.19108 18.87 0.08 
UVW1   58696.95602 18.97 0.08 
UVW1   58697.468981    18.89     0.10    1.204    0.090    316.754 
UVW1   58699.620954    18.87     0.10
UVW1   58700.05694 18.80 0.07 
UVW1   58702.633350    18.65     0.10    1.457    0.111    234.009 
