month,theta_gradient_med,theta_gradient_iqr,rh_850_med,height_diff_med,soundings
1961-01,26.71720355018607,0.0,,2151.0,1
1961-02,22.862921120760916,0.0,98.0,2212.0,1
1961-10,11.391347460141162,0.0,56.0,2292.0,1
1961-12,24.243626425342654,0.0,,2188.0,1
1962-05,13.477682618318767,2.9655796944059887,80.0,2289.5,2
1962-08,8.9634071491256,0.0,71.0,2284.0,1
1962-11,11.2122446110194,1.582227701623225,60.0,2271.0,3
1963-01,23.387268318997087,0.0,,2116.0,1
1963-04,4.725657995249094,0.0,33.0,2203.0,1
1963-10,19.594094694791863,0.0,70.0,2291.0,1
1963-11,4.369437313156311,0.0,60.0,2173.0,1
1963-12,13.343885746999604,0.0,20.0,2256.0,1
1964-01,16.95517378794409,2.564714706560835,98.0,2274.5,2
1964-05,15.099066459205176,0.0,86.0,2251.0,1
1964-10,16.3410123520909,0.0,,2268.0,1
1965-04,11.199546074946483,0.5324140299573799,86.0,2262.5,2
1966-01,15.937967558007898,3.20559655866046,82.5,2175.0,2
1966-04,15.625262627654138,0.0,100.0,2285.0,1
1966-07,3.5903216754729783,0.0,40.0,2387.0,1
1967-01,19.23337835428532,0.0,40.0,2202.0,1
1967-04,17.538381962193256,5.365544268043692,34.0,2257.5,2
1967-06,11.472696007042941,0.0,50.0,2316.0,1
1967-10,18.070134320100294,0.0,22.0,2291.0,1
1967-12,24.093092962680032,0.0,100.0,2310.0,1
1968-01,18.39355277037629,2.8418346709588036,65.5,2216.5,2
1968-04,13.453939726298529,0.0,60.0,2238.0,1
1968-09,14.44707222818937,0.0,19.0,2309.0,1
1969-01,11.92217533294189,0.0,44.0,2261.0,1
1969-04,13.862277896783496,0.0,16.0,2261.0,1
1969-10,20.12168223031034,4.911900119756012,25.5,2223.0,2
1969-11,17.01178693475015,0.0,90.0,2271.0,1
1969-12,11.373228780548118,0.0,100.0,2153.0,1
1970-03,8.960234834812354,0.0,87.0,2169.0,1
1970-04,13.54838566826723,2.011136449815268,62.0,2255.5,2
1970-08,9.597010608672406,0.0,71.0,2362.0,1
1970-09,9.213407838282933,0.0,50.0,2362.0,1
1970-10,12.10378882432667,0.0,75.0,2324.0,1
1970-11,12.559087152739949,0.0,100.0,2249.0,1
1970-12,18.19169953730966,0.334394783254254,31.0,2177.5,2
1971-03,7.487730276462855,0.0,61.0,2157.0,1
1971-05,13.972331876082421,0.0,100.0,2285.0,1
1971-06,11.45609546163746,0.4347277507063154,74.0,2327.5,2
1971-07,10.492524854281214,0.0,67.0,2348.0,1
1971-08,7.67317775421111,0.0,75.0,2343.0,1
1971-09,12.457430841187403,0.8486221106495293,65.0,2326.0,2
1971-10,15.016920194315219,1.3158892801164939,44.0,2330.0,3
1971-11,18.793688063202126,0.0,31.0,2296.0,1
1972-01,18.761810316491733,0.0,49.0,2244.0,1
1972-02,10.85119743448783,1.7809086203766071,54.5,2192.0,2
1972-03,13.039120881248891,0.0,93.0,2229.0,1
1972-04,20.555086636916116,0.36243854360120054,57.0,2257.5,2
1972-05,8.824647737429586,0.0,86.0,2318.0,1
1972-06,14.542510678233441,4.769569534752577,85.5,2280.0,2
1972-07,9.050574698541595,0.0,68.0,2382.0,1
1972-09,15.544439706864694,0.0,93.0,2333.0,1
1972-11,17.874761761598222,6.155169356742249,49.1,2289.5,3
1972-12,20.051640852412078,3.7204175351369315,67.5,2271.5,2
1973-02,10.83592023318289,0.0,96.0,2153.0,1
1973-05,2.0846840492815772,1.2901613719454872,39.0,2269.0,2
1973-07,12.273102638632622,0.0,90.0,2350.0,1
1973-08,7.398967291070335,0.0,64.0,2371.0,1
1973-10,16.365747752186564,0.0,24.0,2285.0,1
1973-11,20.012883572142925,0.0,100.0,2277.0,1
1974-01,21.445706365116962,0.0,100.0,2267.0,1
1974-03,15.254095580281614,0.0,89.0,2232.0,1
1974-04,11.920190316791121,4.595429226007724,84.0,2262.0,2
1974-10,14.977238428939813,1.6884476945585902,25.0,2289.0,3
1974-12,16.226462714378215,0.0,88.0,2204.0,1
1975-01,20.253231272422568,3.448454901203064,20.0,2216.0,3
1975-02,12.913128028594826,1.8225754019028386,37.0,2189.5,2
1975-03,14.299321499665723,2.151744831724045,71.5,2233.0,2
1975-04,7.541035063017603,3.554344058113287,43.0,2251.0,3
1975-05,8.28998587826527,0.0,88.0,2275.0,1
1975-06,14.096670548610803,0.0,83.0,2327.0,1
1975-07,10.603240505630254,0.0,78.0,2340.0,1
1975-09,11.992411500927233,0.0,92.0,2351.0,1
1975-12,9.7407325607453,1.382359484707365,56.5,2242.5,2
1976-01,22.97165175595927,1.7890434750667623,59.5,2251.5,2
1976-02,10.57731780737214,0.0,100.0,2223.0,1
1976-03,10.461308779620992,0.0,73.0,2288.0,1
1976-04,3.43860091464785,0.0,35.0,2347.0,1
1976-05,9.565794534012184,0.0,67.0,2326.0,1
1976-06,8.479140575258981,1.7926146483741547,61.0,2321.5,2
1976-07,9.451770522411891,0.0,92.0,2377.0,1
1976-08,9.311162140503086,3.006584803881964,76.0,2347.0,3
1976-10,13.89481731554423,3.0381997375362744,78.0,2283.0,3
1976-11,7.334686171537214,0.0,100.0,2163.0,1
1976-12,15.935320869806901,0.0,78.0,2223.0,1
1977-01,18.44091178729866,0.0,75.0,2060.0,1
1977-04,12.826087246296964,0.898092910840802,49.0,2289.0,2
1977-05,17.226075890833613,0.0,20.0,2273.0,1
1977-06,7.46252799440407,1.3353993267790543,78.0,2302.0,2
1977-09,12.01324489169042,3.165185098265738,55.5,2341.5,2
1977-11,24.530136565562202,0.0,96.0,2264.0,1
1977-12,14.893904865887237,0.0,36.0,2255.0,1
1978-01,13.044414257650942,0.0,54.0,2114.0,1
1978-03,16.9734285134752,0.0,90.0,2250.0,1
1978-04,20.279290016618745,0.0,19.0,2239.0,1
1978-07,10.08286333969562,2.8968616606082094,67.0,2335.0,3
1978-08,10.24503480738673,0.0,84.0,2355.0,1
1978-09,15.05144462922675,3.5025574057460176,34.0,2328.0,5
