user;blinding code;replica;Time;breed;Animal ID;material;Colour ;Bleeding ;Boiled chicken Odour ;Sweet Odour ;Boiled chicken flavour;Sour taste Breast;Sweet taste ;Metallic flavour ;Hardness at 1 bite;Juiciness;Tenderness;Stringy;Crumbling ;Bitter Aftertaste
1001;386;1;11/08/2023, 09:43:00;Dual_PurposexNo_Enchriment;DP-001;Breast;4,92;4,66;8,73;4,2;10,26;5,41;6,68;11,01;11,43;8,2;4,84;11,34;11,56;10,51
1002;386;1;11/08/2023, 09:43:02;Dual_PurposexNo_Enchriment;DP-001;Breast;5,56;5,78;8,48;0,37;8,22;9,82;1,41;1,1;4,86;8,18;12;5,96;11,25;0,66
1003;386;1;11/08/2023, 09:43:04;Dual_PurposexNo_Enchriment;DP-001;Breast;8,66;4,64;3,43;0,15;8,44;8,31;2,66;5,21;12,51;2,02;7,21;9,85;10,09;4,15
1004;386;1;11/08/2023, 09:43:21;Dual_PurposexNo_Enchriment;DP-001;Breast;0,84;12,07;11,08;7,89;10,55;5,63;7,67;2,92;2,42;9,56;12,99;2,51;10,7;7,34
1005;386;1;11/08/2023, 09:43:39;Dual_PurposexNo_Enchriment;DP-001;Breast;1,57;0,97;9,54;10,14;9,2;9,34;9,91;8,49;1,31;5,06;12,11;1,51;7,86;8,91
1006;386;1;11/08/2023, 09:43:39;Dual_PurposexNo_Enchriment;DP-001;Breast;0,26;8,35;10,15;8,44;9,67;7,85;5,3;2,55;3,93;10,75;13,08;4,62;10,53;0,42
1007;386;1;11/08/2023, 09:43:28;Dual_PurposexNo_Enchriment;DP-001;Breast;0,97;1,19;7,74;1,49;5,76;6,84;1,41;4,4;3,67;8,13;7,56;11,52;11,69;4,09
1008;386;1;11/08/2023, 09:43:04;Dual_PurposexNo_Enchriment;DP-001;Breast;0,07;0,15;10,64;0,48;10,7;0,84;0,99;1,54;9,16;6,09;10,31;3,14;12,66;9,19
1001;302;1;11/09/2023, 09:55:26;Dual_PurposexNo_Enchriment;DP-002;Breast;3,45;5,27;5,14;8;9,98;6,37;12,2;13,36;5,41;5,25;11,96;2;12,59;2,42
1002;302;1;11/09/2023, 09:55:30;Dual_PurposexNo_Enchriment;DP-002;Breast;5,34;5,47;10,18;6,15;7,08;11,16;3,45;1,01;4,46;8,55;12,29;5,25;0,84;1,23
1003;302;1;11/09/2023, 09:55:52;Dual_PurposexNo_Enchriment;DP-002;Breast;5,71;2,53;8,68;0,9;8;9,87;3,25;4,88;2,92;4,86;8,04;3,25;11,56;11,56
1004;302;1;11/09/2023, 09:56:12;Dual_PurposexNo_Enchriment;DP-002;Breast;0,79;12,84;11,54;7,41;11,65;4,99;6,48;1,01;1,71;10,04;12,64;4,46;10,7;1,71
1005;302;1;11/09/2023, 09:56:01;Dual_PurposexNo_Enchriment;DP-002;Breast;0,34;0,49;6,43;6,71;9,11;10,57;6,97;7,51;1,06;8,91;13;0,83;6,09;5,06
1006;302;1;11/09/2023, 09:55:53;Dual_PurposexNo_Enchriment;DP-002;Breast;0,66;6,4;9,6;9,19;10,31;9,27;5,19;8,64;4,24;9,23;13,32;3,91;12,09;3,85
1007;302;1;11/09/2023, 09:55:40;Dual_PurposexNo_Enchriment;DP-002;Breast;1,3;4,75;6,59;5,14;8,35;6,7;6,68;4;5,85;9,27;7,89;11,52;10,88;4,35
1008;302;1;11/09/2023, 09:55:56;Dual_PurposexNo_Enchriment;DP-002;Breast;1,74;9,1;11,3;2,51;10,29;5,56;3,19;4,73;9,03;5,96;9,34;1,85;13,76;5,3
1001;354;1;11/10/2023, 09:05:36;Dual_PurposexNo_Enchriment;DP-003;Breast;7,21;11,98;9,05;5,12;2,7;3,36;6,37;0,31;5,91;10,95;2,64;3,3;3,71;0,31
1002;354;1;11/10/2023, 09:06:01;Dual_PurposexNo_Enchriment;DP-003;Breast;1,01;6,66;8,92;5,82;10,81;10,2;1,45;0,99;7,82;7,08;11,41;8,4;1,54;0,77
1003;354;1;11/10/2023, 09:06:27;Dual_PurposexNo_Enchriment;DP-003;Breast;3,93;6,11;7,85;1,85;9,63;8,97;1,85;4,77;8,4;6,88;8,81;5,52;7,65;7,05
1004;354;1;11/10/2023, 09:06:37;Dual_PurposexNo_Enchriment;DP-003;Breast;0,86;0,73;10,09;6,92;7,16;2,02;1,82;1,65;3,08;4,46;10,53;2,68;10,24;6,62
1005;354;1;11/10/2023, 09:06:32;Dual_PurposexNo_Enchriment;DP-003;Breast;5,74;6,83;9,2;9,03;8,26;4,57;10,51;8,49;1,86;3;11,94;1,37;9;8,71
1006;354;1;11/10/2023, 09:06:20;Dual_PurposexNo_Enchriment;DP-003;Breast;1,25;10,37;10,13;9,54;10,07;3,1;6,2;0,77;3,25;3,32;12,37;2,24;12,51;2,04
1007;354;1;11/10/2023, 09:06:04;Dual_PurposexNo_Enchriment;DP-003;Breast;3,43;3,78;8,86;7,41;8,75;5,21;5,34;4,13;5,78;7,69;7,16;8,7;11,08;4,66
1008;354;1;11/10/2023, 09:05:56;Dual_PurposexNo_Enchriment;DP-003;Breast;0,2;0,11;9,58;6,86;10,46;4,09;7,01;3,1;9,12;6,9;6,59;5,19;11,41;6,46
1001;170;1;11/13/2023, 09:34:49;Dual_PurposexNo_Enchriment;DP-004;Breast;1,58;0,55;13,89;7,43;6,31;7,91;8;8,13;10,02;2,79;3,76;7,6;13,76;2,29
1002;170;1;11/13/2023, 09:35:16;Dual_PurposexNo_Enchriment;DP-004;Breast;1,1;5,38;6,11;8,02;9,82;11,58;4,55;1,14;3,71;5,19;12,31;12,04;1,34;0,75
1003;170;1;11/13/2023, 09:35:31;Dual_PurposexNo_Enchriment;DP-004;Breast;7,01;0,02;9,71;0,9;12,37;4,37;0,59;4,24;11,85;1,36;5,85;11,34;8,57;4,9
1004;170;1;11/13/2023, 09:35:50;Dual_PurposexNo_Enchriment;DP-004;Breast;0,86;0,55;11,98;7,63;11,8;3,67;7,32;0,77;1,03;9,05;13,52;1,93;12,13;1,89
1005;170;1;11/13/2023, 09:35:42;Dual_PurposexNo_Enchriment;DP-004;Breast;2,23;6,37;7,89;6,57;10,11;10,86;8,2;5,83;1,77;11,51;11,37;8,06;2,69;4,14
1006;170;1;11/13/2023, 09:35:31;Dual_PurposexNo_Enchriment;DP-004;Breast;0,77;4,46;11,54;5,78;12,15;0,59;5,12;0,59;5,8;4,07;8,15;2,44;11,52;0,79
