user;blinding code;replica;Time;breed;Animal ID;material;Colour ;Bleeding ;Boiled chicken Odour ;Sweet Odour ;Boiled chicken flavour;Sour taste Breast;Sweet taste ;Metallic flavour ;Hardness at 1 bite;Juiciness;Tenderness;Stringy;Crumbling ;Bitter Aftertaste
1007;170;1;11/13/2023, 09:35:13;Dual_PurposexNo_Enchriment;DP-004;Breast;1,25;1,34;8,29;7,01;8,64;6,53;5,52;5,34;6;6,11;6,22;11,25;10,51;5,96
1008;170;1;11/13/2023, 09:35:10;Dual_PurposexNo_Enchriment;DP-004;Breast;0;3,8;9,3;7,12;7,01;3,78;6,81;3,85;10,84;4,11;6,46;11,6;2,99;10,81
1001;366;1;11/15/2023, 09:24:17;Dual_PurposexNo_Enchriment;DP-005;Breast;2,51;6,31;12,64;9,91;9,45;6,11;10,02;8,95;10,26;4,95;8,55;11,21;6,86;4,02
1002;366;1;11/15/2023, 09:24:32;Dual_PurposexNo_Enchriment;DP-005;Breast;3,3;0,68;10,79;4,13;7,54;11,14;1,54;1,19;4,48;3,54;12,64;9,12;3,67;0,7
1003;366;1;11/15/2023, 09:24:40;Dual_PurposexNo_Enchriment;DP-005;Breast;4,66;0,04;6,09;1,1;8,22;8,11;2,84;6,33;4,59;1,52;10,26;2,37;11,58;10,42
1004;366;1;11/15/2023, 09:24:54;Dual_PurposexNo_Enchriment;DP-005;Breast;1,21;8,11;10,24;8,2;9,49;5,85;6,57;1,21;2,02;7,58;12,9;2,2;12,59;6,11
1005;366;1;11/15/2023, 09:25:05;Dual_PurposexNo_Enchriment;DP-005;Breast;0,74;0,77;6,46;5,91;9,54;7,54;11,06;9,23;1,71;1,09;11,37;1,51;8,74;6,63
1006;366;1;11/15/2023, 09:24:50;Dual_PurposexNo_Enchriment;DP-005;Breast;0,88;7,91;9,67;7,78;8,95;0,59;6,92;0,26;3,41;2,66;12,02;2,44;11,54;0,46
1007;366;1;11/15/2023, 09:24:46;Dual_PurposexNo_Enchriment;DP-005;Breast;0,46;0,33;7,19;7,23;7,47;6,44;3,3;4,37;5,25;8,07;6,4;10,81;10,92;2,95
1008;366;1;11/15/2023, 09:24:25;Dual_PurposexNo_Enchriment;DP-005;Breast;4,55;0,18;8,97;4,37;9,05;4,4;3,98;2,07;10,18;1,96;5,58;10,62;8,75;5,25
1001;154;1;11/13/2023, 09:55:00;Dual_PurposexNo_Enchriment;DP-006;Breast;12,29;4,44;11,36;11,89;7,41;3,49;14,22;8,9;9,19;5,03;0,22;10,09;8,51;3,8
1002;154;1;11/13/2023, 09:55:04;Dual_PurposexNo_Enchriment;DP-006;Breast;0,66;4,81;11,54;5,76;9,87;10,92;1,36;1,27;6,53;4,86;11,45;8,33;1,16;0,73
1003;154;1;11/13/2023, 09:54:55;Dual_PurposexNo_Enchriment;DP-006;Breast;5,67;6,97;4,18;0,31;9,16;5,85;0,04;6,42;5,27;11,01;10,73;4,86;8,46;6,73
1004;154;1;11/13/2023, 09:55:42;Dual_PurposexNo_Enchriment;DP-006;Breast;1,12;12,22;9,71;6,92;7,6;6,75;2,92;2,64;1,38;6,11;11,93;1,3;11,71;9,8
1005;154;1;11/13/2023, 09:55:38;Dual_PurposexNo_Enchriment;DP-006;Breast;8,2;7,17;8,46;8,8;9;8,46;9,26;10,11;3;2,83;11,83;1,83;10,91;9,09
1006;154;1;11/13/2023, 09:55:31;Dual_PurposexNo_Enchriment;DP-006;Breast;2,29;11,21;9,93;7,41;9,32;3,25;5,49;0,37;3,93;6,4;12,64;7,85;10,92;1,16
1007;154;1;11/13/2023, 09:55:26;Dual_PurposexNo_Enchriment;DP-006;Breast;4,2;3,78;7,05;6,68;7,27;7,08;4,75;4,57;6,42;9,71;7,58;12,15;10,51;3,93
1008;154;1;11/13/2023, 09:55:00;Dual_PurposexNo_Enchriment;DP-006;Breast;0,09;0,04;10,22;4,53;6,62;4,35;4,44;1,96;11,43;2,75;3,85;11,08;2,53;4,77
1001;594;1;11/15/2023, 10:14:07;Dual_PurposexNo_Enchriment;DP-007;Breast;8,11;13,05;14,46;12,33;14,53;5,54;14,75;13,27;8,59;13,03;10,37;7,8;7,91;3,58
1002;594;1;11/15/2023, 10:14:11;Dual_PurposexNo_Enchriment;DP-007;Breast;1,14;3,36;12,02;5,74;11,67;10,97;5,56;1,23;1,74;7,47;12,46;7,69;6,46;0,68
1003;594;1;11/15/2023, 10:14:50;Dual_PurposexNo_Enchriment;DP-007;Breast;5,3;0,02;12,18;3,05;13,1;10,86;1,78;5,58;2,73;9,47;13,16;1,87;10,51;10,46
1004;594;1;11/15/2023, 10:14:42;Dual_PurposexNo_Enchriment;DP-007;Breast;2,35;1,52;9,6;7,19;8,81;2,92;7,21;1,87;3,45;7,47;10,84;2,9;11,58;1,1
1005;594;1;11/15/2023, 10:14:58;Dual_PurposexNo_Enchriment;DP-007;Breast;2,26;7,23;8,4;8,37;9,09;9,77;7,71;9,49;1,26;3,34;10,71;1,43;8,89;8,06
1006;594;1;11/15/2023, 10:14:44;Dual_PurposexNo_Enchriment;DP-007;Breast;0,79;8,62;5,98;8,68;9,32;0,64;3,08;0,51;3,1;5,6;11,74;3,56;10,68;0,22
1007;594;1;11/15/2023, 10:14:26;Dual_PurposexNo_Enchriment;DP-007;Breast;0,73;0,77;7,03;5,27;6,97;7,54;5,6;3,23;4,15;7,54;7,41;10,59;10,48;4,95
1008;594;1;11/15/2023, 10:14:27;Dual_PurposexNo_Enchriment;DP-007;Breast;0,02;0,02;5,91;2,95;9,93;1,6;7,27;1,76;3,85;3,56;9,23;2,92;14,68;5,36
1001;234;1;11/17/2023, 09:04:28;Dual_PurposexNo_Enchriment;DP-008;Breast;7,3;0,22;10,35;3,38;9,19;6,95;9,87;10,42;14,68;2,26;0,73;8,81;5,19;8,26
1002;234;1;11/17/2023, 09:04:21;Dual_PurposexNo_Enchriment;DP-008;Breast;1,19;1,1;5,93;4,55;9,12;10,75;1,21;1,23;8,64;7,05;3,38;11,52;4,62;0,88
1003;234;1;11/17/2023, 09:04:33;Dual_PurposexNo_Enchriment;DP-008;Breast;2,92;5,08;7,8;3,3;7,45;9,45;0,11;3,98;11,01;1,6;4,37;11,71;9,21;11,14
1004;234;1;11/17/2023, 09:04:57;Dual_PurposexNo_Enchriment;DP-008;Breast;1,8;0,84;7,93;3,12;5,98;4,9;2,18;1,41;3,56;5,6;8,59;5,03;8,4;2,81
1005;234;1;11/17/2023, 09:05:29;Dual_PurposexNo_Enchriment;DP-008;Breast;1,43;1,63;8,89;9,03;8,94;10,11;7,63;9,83;0,63;3,89;9,71;1,83;9,97;7,46
1006;234;1;11/17/2023, 09:05:14;Dual_PurposexNo_Enchriment;DP-008;Breast;1,32;0,33;6,42;4,99;9,21;0,13;0,22;0,15;4,73;4,37;11,49;3,34;12,57;0,51
1007;234;1;11/17/2023, 09:04:54;Dual_PurposexNo_Enchriment;DP-008;Breast;1,47;1,43;7,85;7,21;7,76;6,11;5,34;1,96;4,68;7,49;6,15;10,24;8,79;1,43
1008;234;1;11/17/2023, 09:04:43;Dual_PurposexNo_Enchriment;DP-008;Breast;2,4;0,33;10,48;4,7;11,3;3,05;8,59;1,38;11,1;2,29;4,35;10,09;5,3;5,41
1001;584;1;11/08/2023, 10:26:13;Dual_PurposexNo_Enchriment;DP-009;Breast;6;0,13;6,97;12,13;11,45;4,37;7,58;0,09;8,24;5,14;10,24;10,42;10,37;0,2
1002;584;1;11/08/2023, 10:26:15;Dual_PurposexNo_Enchriment;DP-009;Breast;6,33;4,97;12,48;7,47;8,42;8,53;1,19;0,99;5,89;6,13;13,21;5,3;8,37;1,08
1003;584;1;11/08/2023, 10:26:16;Dual_PurposexNo_Enchriment;DP-009;Breast;12,13;0,31;9,63;1,03;12,11;3,82;9,1;0,73;7,69;7,78;7,85;2,31;9,74;11,65
1004;584;1;11/08/2023, 10:26:45;Dual_PurposexNo_Enchriment;DP-009;Breast;1,34;7,05;12,26;7,65;11,34;4;5,36;1,82;2,07;11,03;13,34;3,58;8,79;1,91
1005;584;1;11/08/2023, 10:27:01;Dual_PurposexNo_Enchriment;DP-009;Breast;2,29;6,66;9,57;9,11;10,17;10,46;10,8;5,86;2,49;4,77;11,57;1,91;4,77;7,77
1006;584;1;11/08/2023, 10:26:41;Dual_PurposexNo_Enchriment;DP-009;Breast;3,21;0,37;9,01;3,63;11,85;2,86;5,47;2,92;7,87;4,95;12,33;6,31;8,9;1,08
1007;584;1;11/08/2023, 10:26:30;Dual_PurposexNo_Enchriment;DP-009;Breast;2,4;0,86;8,09;6,88;6,55;5,67;4,88;1,3;3,78;6,79;5,89;10,4;10,51;4,73
1008;584;1;11/08/2023, 10:26:25;Dual_PurposexNo_Enchriment;DP-009;Breast;0,29;0,04;13,27;5,36;9,76;1,01;9,56;0,97;7,6;7,91;7,74;4,7;11,14;6,77
1001;124;1;11/17/2023, 09:54:31;Dual_PurposexNo_Enchriment;DP-010;Breast;11,63;11,89;7,01;9,49;7,14;1,01;13,41;13,74;7,43;13,41;10,75;2,68;5,01;0,46
1002;124;1;11/17/2023, 09:54:40;Dual_PurposexNo_Enchriment;DP-010;Breast;4,75;1,21;5,89;5,03;6,92;6,31;1,34;1,1;7,78;6,35;13,1;10,07;5,14;1,08
1003;124;1;11/17/2023, 09:54:54;Dual_PurposexNo_Enchriment;DP-010;Breast;6,57;2,18;9,56;8;12,02;4,95;7,3;9,63;4,33;12,57;8,7;8,9;5,19;5,96
1004;124;1;11/17/2023, 09:55:03;Dual_PurposexNo_Enchriment;DP-010;Breast;1,74;0,77;9,21;2,57;12,57;8,97;6,18;1,98;2,62;9,36;12,68;2,97;12,75;2,68
1005;124;1;11/17/2023, 09:55:20;Dual_PurposexNo_Enchriment;DP-010;Breast;2,66;7,43;7,49;8,31;7,37;10,57;8,09;9,23;5,23;5;10,66;4,31;5,86;9,43
1006;124;1;11/17/2023, 09:54:57;Dual_PurposexNo_Enchriment;DP-010;Breast;5,63;12,02;6,11;4,66;9,08;0,7;4,99;0,48;3,25;5,74;12,29;2,79;11,82;0,62
1007;124;1;11/17/2023, 09:54:47;Dual_PurposexNo_Enchriment;DP-010;Breast;4,9;5,01;7,54;2,66;7,36;6,48;3,03;3,03;5,23;9,03;6,42;10,37;10,51;4,37
1008;124;1;11/17/2023, 09:54:50;Dual_PurposexNo_Enchriment;DP-010;Breast;3,08;0,07;8,84;5,67;6,2;0,86;4,04;0,9;9,41;0,97;5,58;8,51;7,08;4,77
1001;721;1;11/09/2023, 11:06:18;Dual_PurposexNo_Enchriment;DP-011;Breast;7,8;0,22;14,86;7,69;10,18;10,57;2,86;5,38;4,33;3,6;8,84;9,16;9,41;6,68
1002;721;1;11/09/2023, 11:06:28;Dual_PurposexNo_Enchriment;DP-011;Breast;4,84;1,38;4,11;2,59;2,4;3,01;5,49;0,97;1,56;3,21;11,91;3,45;2,07;0,79
1003;721;1;11/09/2023, 11:06:19;Dual_PurposexNo_Enchriment;DP-011;Breast;3,76;5,43;12,73;2,73;12,24;7,87;2,18;4,9;1,89;11,87;12,09;1,98;6,81;5,08
1004;721;1;11/09/2023, 11:06:56;Dual_PurposexNo_Enchriment;DP-011;Breast;0,81;0,88;11,58;7,98;9,49;7,54;6,81;2,18;2,9;8,53;12,9;3,6;12,15;4,35
1005;721;1;11/09/2023, 11:06:35;Dual_PurposexNo_Enchriment;DP-011;Breast;7,26;0,31;4,86;5,6;9,89;11,06;10,63;7,34;3,2;1,63;11,11;0,74;8,51;8,54
1006;721;1;11/09/2023, 11:06:56;Dual_PurposexNo_Enchriment;DP-011;Breast;0,73;5,25;8,57;4,73;12,66;5,63;0,7;0,37;3,38;11,65;12,92;3,96;12,26;7,43
1007;721;1;11/09/2023, 11:06:39;Dual_PurposexNo_Enchriment;DP-011;Breast;3,65;3,82;7,76;6,11;7,98;5,71;5,52;5,58;2,81;8,9;7,89;10,77;9,91;4,37
1008;721;1;11/09/2023, 11:06:28;Dual_PurposexNo_Enchriment;DP-011;Breast;3,08;0,37;5,89;4,24;9,56;5,63;1,8;4,97;8,86;5,41;12,04;0,26;14,99;5,23
1001;123;1;11/16/2023, 09:53:59;Dual_PurposexNo_Enchriment;DP-012;Breast;9,87;5,08;7,23;9,38;3,76;0,73;3,85;1,71;2,79;12,2;10,13;0,97;1,96;6,15
1002;123;1;11/16/2023, 09:54:05;Dual_PurposexNo_Enchriment;DP-012;Breast;0,92;5,54;4,84;2,86;2,79;5,63;3,82;0,92;1,82;9,65;12,95;5,38;10;1,14
1003;123;1;11/16/2023, 09:54:21;Dual_PurposexNo_Enchriment;DP-012;Breast;7,58;2,35;5,8;2,92;12,57;3,14;3,1;6,84;10,73;10,29;3,16;9,8;10,4;10,44
1004;123;1;11/16/2023, 09:54:38;Dual_PurposexNo_Enchriment;DP-012;Breast;1,6;1,82;7,8;6,95;8,53;2,92;6,37;1,49;2,15;9,32;12,88;2,57;11,8;7,3
1005;123;1;11/16/2023, 09:54:46;Dual_PurposexNo_Enchriment;DP-012;Breast;4,23;5,51;8,83;9,86;8,74;9,34;9,43;9,14;4,71;8,66;12,03;4,57;6,06;8,09
1006;123;1;11/16/2023, 09:54:38;Dual_PurposexNo_Enchriment;DP-012;Breast;4,13;8,44;8,29;8,24;9,16;0,7;6,92;0,59;3,08;9,16;12,07;7,58;10,84;0,7
1007;123;1;11/16/2023, 09:54:31;Dual_PurposexNo_Enchriment;DP-012;Breast;2,9;3,87;7,56;5,91;7,89;6,73;5,43;5,14;2,04;7,89;7,19;11,23;9,49;2,4
1008;123;1;11/16/2023, 09:54:21;Dual_PurposexNo_Enchriment;DP-012;Breast;0,13;6,84;5,36;3,16;9,08;1,23;6,37;1,16;5,74;1,36;9,69;1,25;13,89;5,38
1001;836;1;11/17/2023, 10:43:59;Dual_PurposexNo_Enchriment;DP-013;Breast;14,2;6,95;9,69;7,03;10,22;5,78;10,07;8,09;12,4;6;9,74;12,81;0,9;1,16
1002;836;1;11/17/2023, 10:44:14;Dual_PurposexNo_Enchriment;DP-013;Breast;1,23;3,05;9,8;5,47;9,03;1,87;1,8;1,23;6,18;6,26;11,85;2,51;9,49;1,23
1003;836;1;11/17/2023, 10:44:14;Dual_PurposexNo_Enchriment;DP-013;Breast;7,76;3,71;10,62;1,76;5,89;5,89;0,37;9,19;11,41;8,66;8,64;11,6;11,38;4,2
1004;836;1;11/17/2023, 10:44:36;Dual_PurposexNo_Enchriment;DP-013;Breast;1,78;0,9;8,81;5,3;12,79;6,86;5,21;1,69;4,88;10,44;10,77;2,68;13,05;3,45
1005;836;1;11/17/2023, 10:44:39;Dual_PurposexNo_Enchriment;DP-013;Breast;1,46;4,26;8,09;5,34;10,86;10,46;10,37;10,71;1,46;10,74;10,8;1,69;8,2;7,43
1006;836;1;11/17/2023, 10:44:34;Dual_PurposexNo_Enchriment;DP-013;Breast;0,88;0,4;7,3;2,04;6,68;0,4;0,4;0,44;4,31;4,55;11,03;5,69;12,44;0,73
1007;836;1;11/17/2023, 10:44:24;Dual_PurposexNo_Enchriment;DP-013;Breast;3,23;1,05;6,64;5,52;7,01;4,79;4,62;3,03;2,51;7,3;6,68;10,42;9,52;2,18
1008;836;1;11/17/2023, 10:44:29;Dual_PurposexNo_Enchriment;DP-013;Breast;0,04;0,02;9,6;3,34;11,93;0,68;6,11;0,95;9,08;1,56;6,02;1,05;14,15;10,35
1001;406;1;11/17/2023, 10:54:41;Dual_PurposexNo_Enchriment;DP-014;Breast;2,68;6,75;10,92;11,12;3,14;2,35;11,36;4,86;7,32;7,36;6,51;5,05;10,48;10,02
1002;406;1;11/17/2023, 10:54:31;Dual_PurposexNo_Enchriment;DP-014;Breast;1,05;1,27;8,75;3,19;4,92;11,89;1,76;4;3,52;4,86;12,64;2,84;10,75;4,73
1003;406;1;11/17/2023, 10:54:33;Dual_PurposexNo_Enchriment;DP-014;Breast;6,73;8,55;4,26;2,48;10,88;2,77;9,96;2,73;11,47;2,81;9,67;5,47;12,95;10,33
1004;406;1;11/17/2023, 10:54:47;Dual_PurposexNo_Enchriment;DP-014;Breast;2,02;7,8;9,16;5,45;8,59;5,85;4,84;1,93;1,71;9,52;13,14;3,14;12,73;6,11
1005;406;1;11/17/2023, 10:55:05;Dual_PurposexNo_Enchriment;DP-014;Breast;1,71;6,57;7,49;8,29;8,31;10,06;10,83;6,77;2,23;1,29;10,63;1,43;9,57;7,6
1006;406;1;11/17/2023, 10:55:05;Dual_PurposexNo_Enchriment;DP-014;Breast;0,77;8,46;7,32;4,26;8,51;0,42;4,66;0,26;6,11;4,35;12,73;5,67;11,76;0,33
1007;406;1;11/17/2023, 10:54:57;Dual_PurposexNo_Enchriment;DP-014;Breast;3,08;3,23;7,03;5,85;7,21;5,67;2,11;4,62;4,2;7,05;6,75;10,26;10,92;2,09
1008;406;1;11/17/2023, 10:54:46;Dual_PurposexNo_Enchriment;DP-014;Breast;0,11;4,46;9,76;4,13;12,37;2,24;5,74;0,55;11,87;0,73;3,45;11,96;4,88;12,02
1001;497;1;11/14/2023, 08:45:21;Dual_PurposexNo_Enchriment;DP-015;Breast;6,64;0,46;13,78;4,15;13,36;13,91;0,18;3,96;4,77;4,97;10,68;9,58;11,65;4,42
1002;497;1;11/14/2023, 08:45:08;Dual_PurposexNo_Enchriment;DP-015;Breast;1,1;0,79;2,26;1,08;2,31;6,13;4,26;1,08;3,19;7,27;12,15;7,76;5,03;0,62
1003;497;1;11/14/2023, 08:45:22;Dual_PurposexNo_Enchriment;DP-015;Breast;4,37;0,18;11,56;3,03;10,53;6,02;1,08;8,18;7,63;4,79;11,36;3,34;12,09;7,14
1004;497;1;11/14/2023, 08:45:25;Dual_PurposexNo_Enchriment;DP-015;Breast;0,79;1,34;8,42;5,8;11,78;4,77;7,45;1,23;0,97;11,08;13,98;1,71;12,53;4,33
1005;497;1;11/14/2023, 08:45:36;Dual_PurposexNo_Enchriment;DP-015;Breast;3,2;5,31;9,11;8,6;9,71;9,03;7,89;4,54;1,43;8,49;11,06;1,34;3,74;9,06
1006;497;1;11/14/2023, 08:45:26;Dual_PurposexNo_Enchriment;DP-015;Breast;5,21;5,34;9,49;7,85;10,07;0,13;6,64;0,02;7,05;4,04;10,7;9,01;7,69;0,9
1007;497;1;11/14/2023, 08:45:20;Dual_PurposexNo_Enchriment;DP-015;Breast;1,47;0,7;8,77;6,22;8,66;5,58;5,58;3,96;4,73;9,25;8,59;9,27;10,44;5,87
1008;497;1;11/14/2023, 08:44:52;Dual_PurposexNo_Enchriment;DP-015;Breast;0,37;0,04;11,25;8,13;6;0,37;10,68;3,45;8,64;2,24;6,64;6,26;8,84;11,78
1001;900;1;11/14/2023, 09:54:15;Dual_PurposexNo_Enchriment;DP-016;Breast;7,56;0,18;3,12;10,95;7,96;5,63;12,02;3,47;8,33;3,96;3,71;7,08;12,37;1,38
1002;900;1;11/14/2023, 09:54:27;Dual_PurposexNo_Enchriment;DP-016;Breast;0,84;1,23;3,78;2,4;2,33;3,67;3,14;1,08;6,44;5,74;12,02;11,03;4,73;0,73
1003;900;1;11/14/2023, 09:54:14;Dual_PurposexNo_Enchriment;DP-016;Breast;3,47;0,15;5,14;1,12;7,82;5,41;5,43;1,45;9,56;2,02;7,6;5,12;7,14;10,22
1004;900;1;11/14/2023, 09:54:25;Dual_PurposexNo_Enchriment;DP-016;Breast;1,1;1,3;11,3;6,4;12,59;4,86;7,65;1,58;2,51;8,44;12,81;2,7;11,87;2,29
1005;900;1;11/14/2023, 09:55:00;Dual_PurposexNo_Enchriment;DP-016;Breast;1,34;0,66;7,37;5,77;8,29;7,31;10,14;3,37;1,89;2,66;9,11;2,09;4,4;7,34
1006;900;1;11/14/2023, 09:54:55;Dual_PurposexNo_Enchriment;DP-016;Breast;3,32;4,86;10,04;6,29;9,41;1,69;7,76;1,05;3,56;6,31;12,31;6,64;11,45;0,4
1007;900;1;11/14/2023, 09:54:51;Dual_PurposexNo_Enchriment;DP-016;Breast;2,33;0,99;7,76;6,84;8,29;5,65;4,33;4,68;5,32;6,95;6,97;11,47;10,07;3,82
1008;900;1;11/14/2023, 09:54:30;Dual_PurposexNo_Enchriment;DP-016;Breast;0,09;0;5,19;4,02;5,54;0,29;0,57;0,66;13,14;0,9;4,09;12,04;4,33;6,02
1001;143;1;11/10/2023, 09:54:18;Dual_PurposexNo_Enchriment;DP-017;Breast;2,18;10,35;13,74;9,76;10,99;14,4;9,23;14,97;8,15;8,51;8,84;1,32;1,34;0,75
1002;143;1;11/10/2023, 09:54:33;Dual_PurposexNo_Enchriment;DP-017;Breast;1,32;7,38;4,81;4,44;1,56;1,98;0,99;0,57;4,37;4,66;10,51;9,08;4,88;1,32
1003;143;1;11/10/2023, 09:54:25;Dual_PurposexNo_Enchriment;DP-017;Breast;4,59;3,27;5,19;2,29;12,64;9,03;4,22;7,58;7,21;11,19;11,8;2,46;7,14;3,36
1004;143;1;11/10/2023, 09:54:47;Dual_PurposexNo_Enchriment;DP-017;Breast;1,1;11,12;10,44;7,74;12,51;1,71;7,27;0,95;1,71;9,38;12,55;2,7;10,79;3,16
1005;143;1;11/10/2023, 09:55:15;Dual_PurposexNo_Enchriment;DP-017;Breast;1,57;7,17;5,74;7,8;9,69;5,43;8,91;6,26;1,71;2,43;9,91;1,31;5,71;9,77
